==100028== NVPROF is profiling process 100028, command: /home/ubuntu/graalvm-ce-java11-22.1.0/bin/java -jar /home/ubuntu/montecarlo-benchmarking/montecarlo/target/surefire/surefirebooter1551835950237119365.jar /home/ubuntu/montecarlo-benchmarking/montecarlo/target/surefire 2023-06-03T13-19-16_132-jvmRun1 suref
==100028== Profiling application: /home/ubuntu/graalvm-ce-java11-22.1.0/bin/java -jar /home/ubuntu/montecarlo-benchmarking/montecarlo/target/surefire/surefirebooter1551835950237119365.jar /home/ubuntu/montecarlo-benchmarking/montecarlo/target/surefire 2023-06-03T13-19-16_132-jvmRun1 suref
==100028== Warning: 1 records have invalid timestamps due to insufficient device buffer space. You can configure the buffer space using the option --device-buffer-size.
==100028== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*           Device   Context    Stream        Unified Memory  Virtual Address  Name
7.36731s  2.7205ms           (3200 1 1)       (256 1 1)        32        0B        0B  Tesla V100-SXM2         1        14                     -                -  rngSetupStates(unsigned int*, unsigned int*, int*, int*, float*, double*, int) [836]
7.37393s         -                    -               -         -         -         -                -         -         -         PC 0x1283e1c0   0x7f2c60000000  [Unified Memory CPU page faults]
7.37409s         -                    -               -         -         -         -                -         -         -         PC 0x1283e1c0   0x7f2c48000000  [Unified Memory CPU page faults]
7.37418s         -                    -               -         -         -         -                -         -         -         PC 0x1283e1c0   0x7f2c38000000  [Unified Memory CPU page faults]
7.37426s         -                    -               -         -         -         -                -         -         -         PC 0x1283e1c0   0x7f2c28000000  [Unified Memory CPU page faults]
7.52842s         -                    -               -         -         -         -                -         -         -         PC 0xef490022   0x7f2c60010000  [Unified Memory CPU page faults]
7.52896s         -                    -               -         -         -         -                -         -         -         PC 0xef490022   0x7f2c48010000  [Unified Memory CPU page faults]
7.52905s         -                    -               -         -         -         -                -         -         -         PC 0xef490022   0x7f2c38010000  [Unified Memory CPU page faults]
7.52913s         -                    -               -         -         -         -                -         -         -         PC 0xef490022   0x7f2c28010000  [Unified Memory CPU page faults]
7.62605s         -                    -               -         -         -         -                -         -         -         PC 0xef490022   0x7f2c60020000  [Unified Memory CPU page faults]
7.62620s         -                    -               -         -         -         -                -         -         -         PC 0xef490022   0x7f2c48020000  [Unified Memory CPU page faults]
7.62631s         -                    -               -         -         -         -                -         -         -         PC 0xef490022   0x7f2c38020000  [Unified Memory CPU page faults]
7.62643s         -                    -               -         -         -         -                -         -         -         PC 0xef490022   0x7f2c28020000  [Unified Memory CPU page faults]
7.68132s         -                    -               -         -         -         -                -         -         -         PC 0xf8c77724   0x7f2c60040000  [Unified Memory CPU page faults]
7.68150s         -                    -               -         -         -         -                -         -         -         PC 0xf8c77724   0x7f2c48040000  [Unified Memory CPU page faults]
7.68165s         -                    -               -         -         -         -                -         -         -         PC 0xf8c77724   0x7f2c38040000  [Unified Memory CPU page faults]
7.68179s         -                    -               -         -         -         -                -         -         -         PC 0xf8c77724   0x7f2c28040000  [Unified Memory CPU page faults]
7.69877s         -                    -               -         -         -         -                -         -         -         PC 0xf8c77724   0x7f2c60080000  [Unified Memory CPU page faults]
7.69906s         -                    -               -         -         -         -                -         -         -         PC 0xf8c77724   0x7f2c48080000  [Unified Memory CPU page faults]
7.69931s         -                    -               -         -         -         -                -         -         -         PC 0xf8c77724   0x7f2c38080000  [Unified Memory CPU page faults]
7.69957s         -                    -               -         -         -         -                -         -         -         PC 0xf8c77724   0x7f2c28080000  [Unified Memory CPU page faults]
7.73331s         -                    -               -         -         -         -                -         -         -         PC 0xf8c77724   0x7f2c60100000  [Unified Memory CPU page faults]
7.73380s         -                    -               -         -         -         -                -         -         -         PC 0xf8c77724   0x7f2c48100000  [Unified Memory CPU page faults]
7.73426s         -                    -               -         -         -         -                -         -         -         PC 0xf8c77724   0x7f2c38100000  [Unified Memory CPU page faults]
7.73472s         -                    -               -         -         -         -                -         -         -         PC 0xf8c77724   0x7f2c28100000  [Unified Memory CPU page faults]
7.79448s         -                    -               -         -         -         -                -         -         -         PC 0xf8c851d7   0x7f2c60200000  [Unified Memory CPU page faults]
7.79458s         -                    -               -         -         -         -                -         -         -         PC 0xf8c851d7   0x7f2c48200000  [Unified Memory CPU page faults]
7.79465s         -                    -               -         -         -         -                -         -         -         PC 0xf8c851d7   0x7f2c38200000  [Unified Memory CPU page faults]
7.79472s         -                    -               -         -         -         -                -         -         -         PC 0xf8c851d7   0x7f2c28200000  [Unified Memory CPU page faults]
7.79802s         -                    -               -         -         -         -                -         -         -         PC 0xf8c851d7   0x7f2c60210000  [Unified Memory CPU page faults]
7.79811s         -                    -               -         -         -         -                -         -         -         PC 0xf8c851d7   0x7f2c48210000  [Unified Memory CPU page faults]
7.79819s         -                    -               -         -         -         -                -         -         -         PC 0xf8c851d7   0x7f2c38210000  [Unified Memory CPU page faults]
7.79827s         -                    -               -         -         -         -                -         -         -         PC 0xf8c851d7   0x7f2c28210000  [Unified Memory CPU page faults]
7.80158s         -                    -               -         -         -         -                -         -         -         PC 0xf8c851d7   0x7f2c60220000  [Unified Memory CPU page faults]
7.80170s         -                    -               -         -         -         -                -         -         -         PC 0xf8c851d7   0x7f2c48220000  [Unified Memory CPU page faults]
7.80180s         -                    -               -         -         -         -                -         -         -         PC 0xf8c851d7   0x7f2c38220000  [Unified Memory CPU page faults]
7.80190s         -                    -               -         -         -         -                -         -         -         PC 0xf8c851d7   0x7f2c28220000  [Unified Memory CPU page faults]
7.80845s         -                    -               -         -         -         -                -         -         -         PC 0xf8c851d7   0x7f2c60240000  [Unified Memory CPU page faults]
7.80862s         -                    -               -         -         -         -                -         -         -         PC 0xf8c851d7   0x7f2c48240000  [Unified Memory CPU page faults]
7.80877s         -                    -               -         -         -         -                -         -         -         PC 0xf8c851d7   0x7f2c38240000  [Unified Memory CPU page faults]
7.80891s         -                    -               -         -         -         -                -         -         -         PC 0xf8c851d7   0x7f2c28240000  [Unified Memory CPU page faults]
7.82197s         -                    -               -         -         -         -                -         -         -         PC 0xf8c851d7   0x7f2c60280000  [Unified Memory CPU page faults]
7.82224s         -                    -               -         -         -         -                -         -         -         PC 0xf8c851d7   0x7f2c48280000  [Unified Memory CPU page faults]
7.82250s         -                    -               -         -         -         -                -         -         -         PC 0xf8c851d7   0x7f2c38280000  [Unified Memory CPU page faults]
7.82275s         -                    -               -         -         -         -                -         -         -         PC 0xf8c851d7   0x7f2c28280000  [Unified Memory CPU page faults]
7.84889s         -                    -               -         -         -         -                -         -         -         PC 0xf8c851d7   0x7f2c60300000  [Unified Memory CPU page faults]
7.84937s         -                    -               -         -         -         -                -         -         -         PC 0xf8c851d7   0x7f2c48300000  [Unified Memory CPU page faults]
7.84983s         -                    -               -         -         -         -                -         -         -         PC 0xf8c851d7   0x7f2c38300000  [Unified Memory CPU page faults]
7.85027s         -                    -               -         -         -         -                -         -         -         PC 0xf8c851d7   0x7f2c28300000  [Unified Memory CPU page faults]
7.90227s         -                    -               -         -         -         -                -         -         -         PC 0xf8c851d7   0x7f2c60400000  [Unified Memory CPU page faults]
7.90237s         -                    -               -         -         -         -                -         -         -         PC 0xf8c851d7   0x7f2c48400000  [Unified Memory CPU page faults]
7.90245s         -                    -               -         -         -         -                -         -         -         PC 0xf8c851d7   0x7f2c38400000  [Unified Memory CPU page faults]
7.90252s         -                    -               -         -         -         -                -         -         -         PC 0xf8c851d7   0x7f2c28400000  [Unified Memory CPU page faults]
7.90581s         -                    -               -         -         -         -                -         -         -         PC 0xf8c851d7   0x7f2c60410000  [Unified Memory CPU page faults]
7.90590s         -                    -               -         -         -         -                -         -         -         PC 0xf8c851d7   0x7f2c48410000  [Unified Memory CPU page faults]
7.90597s         -                    -               -         -         -         -                -         -         -         PC 0xf8c851d7   0x7f2c38410000  [Unified Memory CPU page faults]
7.90604s         -                    -               -         -         -         -                -         -         -         PC 0xf8c851d7   0x7f2c28410000  [Unified Memory CPU page faults]
7.90933s         -                    -               -         -         -         -                -         -         -         PC 0xf8c851d7   0x7f2c60420000  [Unified Memory CPU page faults]
7.90945s         -                    -               -         -         -         -                -         -         -         PC 0xf8c851d7   0x7f2c48420000  [Unified Memory CPU page faults]
7.90955s         -                    -               -         -         -         -                -         -         -         PC 0xf8c851d7   0x7f2c38420000  [Unified Memory CPU page faults]
7.90966s         -                    -               -         -         -         -                -         -         -         PC 0xf8c851d7   0x7f2c28420000  [Unified Memory CPU page faults]
7.91619s         -                    -               -         -         -         -                -         -         -         PC 0xf8c851d7   0x7f2c60440000  [Unified Memory CPU page faults]
7.91635s         -                    -               -         -         -         -                -         -         -         PC 0xf8c851d7   0x7f2c48440000  [Unified Memory CPU page faults]
7.91653s         -                    -               -         -         -         -                -         -         -         PC 0xf8c851d7   0x7f2c38440000  [Unified Memory CPU page faults]
7.91668s         -                    -               -         -         -         -                -         -         -         PC 0xf8c851d7   0x7f2c28440000  [Unified Memory CPU page faults]
7.92973s         -                    -               -         -         -         -                -         -         -         PC 0xf8c851d7   0x7f2c60480000  [Unified Memory CPU page faults]
7.92999s         -                    -               -         -         -         -                -         -         -         PC 0xf8c851d7   0x7f2c48480000  [Unified Memory CPU page faults]
7.93024s         -                    -               -         -         -         -                -         -         -         PC 0xf8c851d7   0x7f2c38480000  [Unified Memory CPU page faults]
7.93049s         -                    -               -         -         -         -                -         -         -         PC 0xf8c851d7   0x7f2c28480000  [Unified Memory CPU page faults]
7.95655s         -                    -               -         -         -         -                -         -         -         PC 0xf8c851d7   0x7f2c60500000  [Unified Memory CPU page faults]
7.95701s         -                    -               -         -         -         -                -         -         -         PC 0xf8c851d7   0x7f2c48500000  [Unified Memory CPU page faults]
