==114082== NVPROF is profiling process 114082, command: /home/ubuntu/graalvm-ce-java11-22.1.0/bin/java -jar /home/ubuntu/montecarlo-benchmarking/montecarlo/target/surefire/surefirebooter14739757568733472971.jar /home/ubuntu/montecarlo-benchmarking/montecarlo/target/surefire 2023-06-03T13-35-45_485-jvmRun1 sure
==114082== Profiling application: /home/ubuntu/graalvm-ce-java11-22.1.0/bin/java -jar /home/ubuntu/montecarlo-benchmarking/montecarlo/target/surefire/surefirebooter14739757568733472971.jar /home/ubuntu/montecarlo-benchmarking/montecarlo/target/surefire 2023-06-03T13-35-45_485-jvmRun1 sure
==114082== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*           Device   Context    Stream        Unified Memory  Virtual Address  Name
7.73895s  6.7892ms           (3200 1 1)       (256 1 1)        32        0B        0B  Tesla V100-SXM2         1        22                     -                -  rngSetupStates(unsigned int*, unsigned int*, int*, int*, float*, double*, int) [858]
7.73905s  547.46us                    -               -         -         -         -  Tesla V100-SXM2         -         -                    10   0x7fca1a0c8000  [Unified Memory GPU page faults]
7.73960s  272.58us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7fca1a123000  [Unified Memory GPU page faults]
7.73991s  79.424us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     1   0x7fca1a145000  [Unified Memory GPU page faults]
7.73999s  225.63us                    -               -         -         -         -  Tesla V100-SXM2         -         -                    14   0x7fca1a189000  [Unified Memory GPU page faults]
7.74022s  212.26us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     3   0x7fca4a851000  [Unified Memory GPU page faults]
7.74029s  161.82us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     2   0x7fca4a850000  [Unified Memory GPU page faults]
7.74050s  179.87us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     1   0x7fca1a2be000  [Unified Memory GPU page faults]
7.74061s  443.91us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     8   0x7fca1a226000  [Unified Memory GPU page faults]
7.74121s  105.89us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7fca1a335000  [Unified Memory GPU page faults]
7.74131s  48.481us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     8   0x7fca1a200000  [Unified Memory GPU page faults]
7.74140s  118.94us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7fca1a404000  [Unified Memory GPU page faults]
7.74152s  133.98us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7fca1a53e000  [Unified Memory GPU page faults]
7.74165s  341.73us                    -               -         -         -         -  Tesla V100-SXM2         -         -                    26   0x7fca1a61a000  [Unified Memory GPU page faults]
7.74175s  266.82us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     8   0x7fca1a641000  [Unified Memory GPU page faults]
7.74202s  44.192us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     2   0x7fca4b680000  [Unified Memory GPU page faults]
7.74205s  40.480us                    -               -         -         -         -  Tesla V100-SXM2         -         -                    28   0x7fca1a620000  [Unified Memory GPU page faults]
7.74214s  81.952us                    -               -         -         -         -  Tesla V100-SXM2         -         -                    14   0x7fca1a602000  [Unified Memory GPU page faults]
7.74226s  69.216us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7fca1a688000  [Unified Memory GPU page faults]
7.74232s  87.073us                    -               -         -         -         -  Tesla V100-SXM2         -         -                    14   0x7fca1a703000  [Unified Memory GPU page faults]
7.74240s  76.992us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7fca1a769000  [Unified Memory GPU page faults]
7.74249s  36.384us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7fca1a808000  [Unified Memory GPU page faults]
7.74252s  27.936us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     2   0x7fca1a811000  [Unified Memory GPU page faults]
7.74255s  67.488us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7fca1a867000  [Unified Memory GPU page faults]
7.74262s  43.680us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7fca1a88e000  [Unified Memory GPU page faults]
7.74270s  101.06us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7fca1a907000  [Unified Memory GPU page faults]
7.74276s  7.8683ms           (3200 1 1)       (256 1 1)        32        0B        0B  Tesla V100-SXM2         2        23                     -                -  rngSetupStates(unsigned int*, unsigned int*, int*, int*, float*, double*, int) [864]
7.74280s  41.408us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     3   0x7fca1a82c000  [Unified Memory GPU page faults]
7.74287s  542.27us                    -               -         -         -         -  Tesla V100-SXM2         -         -                    13   0x7fc9e60c8000  [Unified Memory GPU page faults]
7.74290s  586.66us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     2   0x7fca1aa03000  [Unified Memory GPU page faults]
7.74341s  345.18us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     2   0x7fc9e8828000  [Unified Memory GPU page faults]
7.74349s  595.59us                    -               -         -         -         -  Tesla V100-SXM2         -         -                    14   0x7fca1ab1e000  [Unified Memory GPU page faults]
7.74382s  196.06us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     2   0x7fc9e61f4000  [Unified Memory GPU page faults]
7.74401s  227.87us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     3   0x7fc9e8864000  [Unified Memory GPU page faults]
7.74409s  60.768us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     2   0x7fca4b89a000  [Unified Memory GPU page faults]
7.74430s  62.592us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7fca1ac08000  [Unified Memory GPU page faults]
7.74432s  297.12us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     1   0x7fc9e62bc000  [Unified Memory GPU page faults]
7.74436s  48.288us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7fca1ac17000  [Unified Memory GPU page faults]
7.74441s  44.736us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     1   0x7fca4a298000  [Unified Memory GPU page faults]
7.74446s  90.305us                    -               -         -         -         -  Tesla V100-SXM2         -         -                    14   0x7fca1ac83000  [Unified Memory GPU page faults]
7.74455s  356.64us                    -               -         -         -         -  Tesla V100-SXM2         -         -                    14   0x7fca1ad06000  [Unified Memory GPU page faults]
7.74462s  351.01us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7fc9e888c000  [Unified Memory GPU page faults]
7.74490s  37.312us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     2   0x7fca1ae1b000  [Unified Memory GPU page faults]
7.74498s  65.249us                    -               -         -         -         -  Tesla V100-SXM2         -         -                    14   0x7fca1ae03000  [Unified Memory GPU page faults]
7.74506s  191.49us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     2   0x7fc9e6088000  [Unified Memory GPU page faults]
7.74510s  56.000us                    -               -         -         -         -  Tesla V100-SXM2         -         -                    14   0x7fca1ae45000  [Unified Memory GPU page faults]
7.74515s  65.600us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7fca1ae85000  [Unified Memory GPU page faults]
7.74522s  138.56us                    -               -         -         -         -  Tesla V100-SXM2         -         -                    13   0x7fca1af06000  [Unified Memory GPU page faults]
7.74525s  255.65us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     2   0x7fc9e6065000  [Unified Memory GPU page faults]
7.74535s  90.624us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     1   0x7fca4a2a2000  [Unified Memory GPU page faults]
7.74551s  238.37us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7fc9e61a9000  [Unified Memory GPU page faults]
7.74575s  221.25us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     1   0x7fc9e88b4000  [Unified Memory GPU page faults]
7.74587s  254.05us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     8   0x7fc9e640c000  [Unified Memory GPU page faults]
7.74613s  108.26us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7fc9e6483000  [Unified Memory GPU page faults]
7.74624s  218.69us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     1   0x7fc9e6534000  [Unified Memory GPU page faults]
7.74645s  494.01us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7fc9e660e000  [Unified Memory GPU page faults]
7.74647s  517.89us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     8   0x7fc9e662f000  [Unified Memory GPU page faults]
7.74707s  111.46us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7fc9e6673000  [Unified Memory GPU page faults]
7.74718s  179.52us                    -               -         -         -         -  Tesla V100-SXM2         -         -                    14   0x7fc9e6705000  [Unified Memory GPU page faults]
7.74736s  94.400us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     2   0x7fc9e9703000  [Unified Memory GPU page faults]
7.74745s  27.232us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     2   0x7fc9e960c000  [Unified Memory GPU page faults]
7.74748s  45.343us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7fc9e6808000  [Unified Memory GPU page faults]
7.74752s  61.984us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     8   0x7fc9e6816000  [Unified Memory GPU page faults]
7.74758s  67.136us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7fc9e6850000  [Unified Memory GPU page faults]
7.74765s  69.824us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7fc9e6894000  [Unified Memory GPU page faults]
7.74771s  21.312us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7fc9e68b2000  [Unified Memory GPU page faults]
7.74777s  173.79us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     3   0x7fc9e6909000  [Unified Memory GPU page faults]
7.74794s  63.712us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     1   0x7fc9e6a61000  [Unified Memory GPU page faults]
7.74797s  213.31us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     2   0x7fc9e6a25000  [Unified Memory GPU page faults]
7.74818s  288.22us                    -               -         -         -         -  Tesla V100-SXM2         -         -                    15   0x7fc9e6a01000  [Unified Memory GPU page faults]
7.74846s  350.30us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     2   0x7fc9e6b23000  [Unified Memory GPU page faults]
7.74848s         -                    -               -         -         -         -                -         -         -         PC 0x135481c0   0x7fca4c000000  [Unified Memory CPU page faults]
7.74850s  521.92us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7fc9e6b25000  [Unified Memory GPU page faults]
7.74889s         -                    -               -         -         -         -                -         -         -         PC 0x135481c0   0x7fca3c000000  [Unified Memory CPU page faults]
7.74892s  225.76us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     8   0x7fc9e6c15000  [Unified Memory GPU page faults]
7.74903s         -                    -               -         -         -         -                -         -         -         PC 0x135481c0   0x7fca34000000  [Unified Memory CPU page faults]
7.74912s         -                    -               -         -         -         -                -         -         -         PC 0x135481c0   0x7fca2c000000  [Unified Memory CPU page faults]
7.74914s  138.88us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7fc9e6c00000  [Unified Memory GPU page faults]
7.74929s  480.93us                    -               -         -         -         -  Tesla V100-SXM2         -         -                    14   0x7fc9e6d03000  [Unified Memory GPU page faults]
7.74977s  44.384us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7fc9e6e10000  [Unified Memory GPU page faults]
7.74982s  94.432us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7fc9e6e01000  [Unified Memory GPU page faults]
7.74991s  25.312us                    -               -         -         -         -  Tesla V100-SXM2         -         -                    14   0x7fc9e6e0c000  [Unified Memory GPU page faults]
7.74996s  100.54us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7fc9e6e62000  [Unified Memory GPU page faults]
7.75006s  188.80us                    -               -         -         -         -  Tesla V100-SXM2         -         -                    26   0x7fc9e6f10000  [Unified Memory GPU page faults]
7.75025s  107.33us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     1   0x7fc9e82e5000  [Unified Memory GPU page faults]
7.75028s  87.519us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     2   0x7fc9e9a0f000  [Unified Memory GPU page faults]
7.88126s         -                    -               -         -         -         -                -         -         -         PC 0xef4758a2   0x7fca4c010000  [Unified Memory CPU page faults]
7.88141s         -                    -               -         -         -         -                -         -         -         PC 0xef4758a2   0x7fca3c010000  [Unified Memory CPU page faults]
7.88150s         -                    -               -         -         -         -                -         -         -         PC 0xef4758a2   0x7fca34010000  [Unified Memory CPU page faults]
7.88160s         -                    -               -         -         -         -                -         -         -         PC 0xef4758a2   0x7fca2c010000  [Unified Memory CPU page faults]
7.94965s         -                    -               -         -         -         -                -         -         -         PC 0xef4758a2   0x7fca4c020000  [Unified Memory CPU page faults]
7.94976s         -                    -               -         -         -         -                -         -         -         PC 0xef4758a2   0x7fca3c020000  [Unified Memory CPU page faults]
7.94994s         -                    -               -         -         -         -                -         -         -         PC 0xef4758a2   0x7fca34020000  [Unified Memory CPU page faults]
7.95008s         -                    -               -         -         -         -                -         -         -         PC 0xef4758a2   0x7fca2c020000  [Unified Memory CPU page faults]
8.02681s         -                    -               -         -         -         -                -         -         -         PC 0xf8c73d0a   0x7fca4c040000  [Unified Memory CPU page faults]
8.02699s         -                    -               -         -         -         -                -         -         -         PC 0xf8c73d0a   0x7fca3c040000  [Unified Memory CPU page faults]
8.02714s         -                    -               -         -         -         -                -         -         -         PC 0xf8c73d0a   0x7fca34040000  [Unified Memory CPU page faults]
