==105310== NVPROF is profiling process 105310, command: /home/ubuntu/graalvm-ce-java11-22.1.0/bin/java -jar /home/ubuntu/montecarlo-benchmarking/montecarlo/target/surefire/surefirebooter16628035569654448097.jar /home/ubuntu/montecarlo-benchmarking/montecarlo/target/surefire 2023-06-03T13-25-30_763-jvmRun1 sure
==105310== Profiling application: /home/ubuntu/graalvm-ce-java11-22.1.0/bin/java -jar /home/ubuntu/montecarlo-benchmarking/montecarlo/target/surefire/surefirebooter16628035569654448097.jar /home/ubuntu/montecarlo-benchmarking/montecarlo/target/surefire 2023-06-03T13-25-30_763-jvmRun1 sure
==105310== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*           Device   Context    Stream        Unified Memory  Virtual Address  Name
7.64343s  2.7242ms           (3200 1 1)       (256 1 1)        32        0B        0B  Tesla V100-SXM2         1        22                     -                -  rngSetupStates(unsigned int*, unsigned int*, int*, int*, float*, double*, int) [864]
7.64805s  2.7187ms           (3200 1 1)       (256 1 1)        32        0B        0B  Tesla V100-SXM2         2        23                     -                -  rngSetupStates(unsigned int*, unsigned int*, int*, int*, float*, double*, int) [876]
7.65281s         -                    -               -         -         -         -                -         -         -         PC 0xdb6ed1c0   0x7eff18000000  [Unified Memory CPU page faults]
7.65300s         -                    -               -         -         -         -                -         -         -         PC 0xdb6ed1c0   0x7eff08000000  [Unified Memory CPU page faults]
7.65309s         -                    -               -         -         -         -                -         -         -         PC 0xdb6ed1c0   0x7eff00000000  [Unified Memory CPU page faults]
7.65317s         -                    -               -         -         -         -                -         -         -         PC 0xdb6ed1c0   0x7efef8000000  [Unified Memory CPU page faults]
7.79874s         -                    -               -         -         -         -                -         -         -         PC 0xb747eea2   0x7eff18010000  [Unified Memory CPU page faults]
7.79888s         -                    -               -         -         -         -                -         -         -         PC 0xb747eea2   0x7eff08010000  [Unified Memory CPU page faults]
7.79895s         -                    -               -         -         -         -                -         -         -         PC 0xb747eea2   0x7eff00010000  [Unified Memory CPU page faults]
7.79902s         -                    -               -         -         -         -                -         -         -         PC 0xb747eea2   0x7efef8010000  [Unified Memory CPU page faults]
7.89893s         -                    -               -         -         -         -                -         -         -         PC 0xb747eea2   0x7eff18020000  [Unified Memory CPU page faults]
7.89903s         -                    -               -         -         -         -                -         -         -         PC 0xb747eea2   0x7eff08020000  [Unified Memory CPU page faults]
7.89910s         -                    -               -         -         -         -                -         -         -         PC 0xb747eea2   0x7eff00020000  [Unified Memory CPU page faults]
7.89917s         -                    -               -         -         -         -                -         -         -         PC 0xb747eea2   0x7efef8020000  [Unified Memory CPU page faults]
7.98267s         -                    -               -         -         -         -                -         -         -         PC 0xc0c77d5f   0x7eff18040000  [Unified Memory CPU page faults]
7.98290s         -                    -               -         -         -         -                -         -         -         PC 0xc0c77d5f   0x7eff08040000  [Unified Memory CPU page faults]
7.98305s         -                    -               -         -         -         -                -         -         -         PC 0xc0c77d5f   0x7eff00040000  [Unified Memory CPU page faults]
7.98321s         -                    -               -         -         -         -                -         -         -         PC 0xc0c77d5f   0x7efef8040000  [Unified Memory CPU page faults]
8.00983s         -                    -               -         -         -         -                -         -         -         PC 0xc0c7caa4   0x7eff18080000  [Unified Memory CPU page faults]
8.01011s         -                    -               -         -         -         -                -         -         -         PC 0xc0c7caa4   0x7eff08080000  [Unified Memory CPU page faults]
8.01035s         -                    -               -         -         -         -                -         -         -         PC 0xc0c7caa4   0x7eff00080000  [Unified Memory CPU page faults]
