==12536== NVPROF is profiling process 12536, command: /home/ubuntu/graalvm-ce-java11-22.1.0/bin/java -jar /home/ubuntu/montecarlo-benchmarking/montecarlo/target/surefire/surefirebooter3587325474376094769.jar /home/ubuntu/montecarlo-benchmarking/montecarlo/target/surefire 2023-06-05T11-11-10_420-jvmRun1 suref
==12536== Profiling application: /home/ubuntu/graalvm-ce-java11-22.1.0/bin/java -jar /home/ubuntu/montecarlo-benchmarking/montecarlo/target/surefire/surefirebooter3587325474376094769.jar /home/ubuntu/montecarlo-benchmarking/montecarlo/target/surefire 2023-06-05T11-11-10_420-jvmRun1 suref
==12536== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*           Device   Context    Stream        Unified Memory  Virtual Address  Name
1.30677s  6.2454ms           (3200 1 1)       (256 1 1)        32        0B        0B  Tesla V100-SXM2         1        46                     -                -  rngSetupStates(unsigned int*, unsigned int*, int*, int*, float*, double*, int) [1322]
1.30687s  470.17us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     2   0x7fafd20c8000  [Unified Memory GPU page faults]
1.30735s  272.03us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     2   0x7fafdea28000  [Unified Memory GPU page faults]
1.30768s  223.16us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     1   0x7fafd2191000  [Unified Memory GPU page faults]
1.30791s  364.47us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     6   0x7fafd208e000  [Unified Memory GPU page faults]
1.30839s  100.96us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     2   0x7fafd2285000  [Unified Memory GPU page faults]
1.30841s  431.89us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     1   0x7fafd2282000  [Unified Memory GPU page faults]
1.30859s  289.82us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7fafd23a0000  [Unified Memory GPU page faults]
1.30896s  77.566us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7fafd2403000  [Unified Memory GPU page faults]
1.30904s  44.991us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     2   0x7fafd2440000  [Unified Memory GPU page faults]
1.30909s  45.118us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7fafd24c4000  [Unified Memory GPU page faults]
