==37646== NVPROF is profiling process 37646, command: /home/ubuntu/graalvm-ce-java11-22.1.0/bin/java -jar /home/ubuntu/montecarlo-benchmarking/montecarlo/target/surefire/surefirebooter723768696273518008.jar /home/ubuntu/montecarlo-benchmarking/montecarlo/target/surefire 2023-06-05T11-28-05_738-jvmRun1 surefi
==37646== Profiling application: /home/ubuntu/graalvm-ce-java11-22.1.0/bin/java -jar /home/ubuntu/montecarlo-benchmarking/montecarlo/target/surefire/surefirebooter723768696273518008.jar /home/ubuntu/montecarlo-benchmarking/montecarlo/target/surefire 2023-06-05T11-28-05_738-jvmRun1 surefi
==37646== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*           Device   Context    Stream        Unified Memory  Virtual Address  Name
2.47097s  6.9833ms           (3200 1 1)       (256 1 1)        32        0B        0B  Tesla V100-SXM2         1        46                     -                -  rngSetupStates(unsigned int*, unsigned int*, int*, int*, float*, double*, int) [1322]
2.47108s  562.17us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     2   0x7f1a180c8000  [Unified Memory GPU page faults]
2.47164s  353.60us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7f1a1a828000  [Unified Memory GPU page faults]
2.47207s  207.13us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     1   0x7f1a18258000  [Unified Memory GPU page faults]
2.47228s  221.85us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     2   0x7f1a1a878000  [Unified Memory GPU page faults]
2.47258s  190.30us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     1   0x7f1a1800b000  [Unified Memory GPU page faults]
2.47277s  314.24us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     2   0x7f1a1a802000  [Unified Memory GPU page faults]
2.47309s  73.663us                    -               -         -         -         -  Tesla V100-SXM2         -         -                    14   0x7f1a1820e000  [Unified Memory GPU page faults]
2.47316s  183.42us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7f1a18141000  [Unified Memory GPU page faults]
2.47334s  58.847us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     1   0x7f1a1a091000  [Unified Memory GPU page faults]
2.47340s  317.82us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     6   0x7f1a18308000  [Unified Memory GPU page faults]
2.47383s  150.97us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7f1a18406000  [Unified Memory GPU page faults]
2.47398s  184.00us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7f1a1848a000  [Unified Memory GPU page faults]
2.47416s  374.91us                    -               -         -         -         -  Tesla V100-SXM2         -         -                    13   0x7f1a18534000  [Unified Memory GPU page faults]
2.47454s  115.71us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7f1a18641000  [Unified Memory GPU page faults]
2.47465s  103.84us                    -               -         -         -         -  Tesla V100-SXM2         -         -                    14   0x7f1a1863e000  [Unified Memory GPU page faults]
2.47475s  144.13us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     8   0x7f1a18602000  [Unified Memory GPU page faults]
2.47478s  7.0460ms           (3200 1 1)       (256 1 1)        32        0B        0B  Tesla V100-SXM2         2        47                     -                -  rngSetupStates(unsigned int*, unsigned int*, int*, int*, float*, double*, int) [1328]
2.47488s  682.58us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     3   0x7f1a0e085000  [Unified Memory GPU page faults]
2.47489s  81.759us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7f1a18682000  [Unified Memory GPU page faults]
2.47497s  125.15us                    -               -         -         -         -  Tesla V100-SXM2         -         -                    28   0x7f1a1872d000  [Unified Memory GPU page faults]
2.47509s  82.463us                    -               -         -         -         -  Tesla V100-SXM2         -         -                    14   0x7f1a1865a000  [Unified Memory GPU page faults]
2.47517s  52.415us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     8   0x7f1a18807000  [Unified Memory GPU page faults]
2.47522s  57.503us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7f1a18825000  [Unified Memory GPU page faults]
2.47528s  53.215us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7f1a18858000  [Unified Memory GPU page faults]
2.47538s  116.96us                    -               -         -         -         -  Tesla V100-SXM2         -         -                    14   0x7f1a18902000  [Unified Memory GPU page faults]
2.47549s  38.495us                    -               -         -         -         -  Tesla V100-SXM2         -         -                    11   0x7f1a1884f000  [Unified Memory GPU page faults]
2.47552s  59.200us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     2   0x7f1a18a12000  [Unified Memory GPU page faults]
2.47557s  428.28us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     5   0x7f1a0e076000  [Unified Memory GPU page faults]
2.47558s  237.02us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7f1a18a00000  [Unified Memory GPU page faults]
2.47581s  292.67us                    -               -         -         -         -  Tesla V100-SXM2         -         -                    13   0x7f1a18a83000  [Unified Memory GPU page faults]
2.47600s  42.016us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     2   0x7f1a11429000  [Unified Memory GPU page faults]
2.47603s  50.879us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     2   0x7f1a11410000  [Unified Memory GPU page faults]
2.47608s  177.73us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     2   0x7f1a0e147000  [Unified Memory GPU page faults]
2.47611s  182.75us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     1   0x7f1a1a241000  [Unified Memory GPU page faults]
2.47617s  333.98us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     1   0x7f1a1a240000  [Unified Memory GPU page faults]
2.47626s  246.30us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     3   0x7f1a10840000  [Unified Memory GPU page faults]
2.47643s  217.53us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     8   0x7f1a18c09000  [Unified Memory GPU page faults]
2.47660s  184.96us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7f1a0e200000  [Unified Memory GPU page faults]
2.47664s  105.38us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     8   0x7f1a18c83000  [Unified Memory GPU page faults]
2.47675s  318.17us                    -               -         -         -         -  Tesla V100-SXM2         -         -                    14   0x7f1a18d02000  [Unified Memory GPU page faults]
2.47689s  137.60us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     1   0x7f1a0e285000  [Unified Memory GPU page faults]
2.47693s  420.47us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     2   0x7f1a0e282000  [Unified Memory GPU page faults]
2.47718s  65.023us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7f1a18e26000  [Unified Memory GPU page faults]
2.47729s  86.687us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7f1a18e02000  [Unified Memory GPU page faults]
2.47735s  67.839us                    -               -         -         -         -  Tesla V100-SXM2         -         -                    14   0x7f1a0e375000  [Unified Memory GPU page faults]
2.47737s  82.719us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     3   0x7f1a18e07000  [Unified Memory GPU page faults]
2.47741s  18.624us                    -               -         -         -         -  Tesla V100-SXM2         -         -                    14   0x7f1a0e2e1000  [Unified Memory GPU page faults]
2.47745s  133.47us                    -               -         -         -         -  Tesla V100-SXM2         -         -                    13   0x7f1a18f03000  [Unified Memory GPU page faults]
2.47748s  71.679us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7f1a0e406000  [Unified Memory GPU page faults]
2.47755s  39.679us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7f1a0e490000  [Unified Memory GPU page faults]
2.47758s  85.727us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     1   0x7f1a1a2b6000  [Unified Memory GPU page faults]
2.47759s  50.047us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7f1a0e448000  [Unified Memory GPU page faults]
2.47760s  80.479us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     2   0x7f1a1ba00000  [Unified Memory GPU page faults]
2.47769s  186.56us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     2   0x7f1a0e50d000  [Unified Memory GPU page faults]
2.47787s  374.17us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7f1a0e60e000  [Unified Memory GPU page faults]
2.47792s  382.65us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7f1a0e69b000  [Unified Memory GPU page faults]
2.47830s  55.039us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     8   0x7f1a0e663000  [Unified Memory GPU page faults]
2.47836s  71.775us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7f1a0e6a9000  [Unified Memory GPU page faults]
2.47843s  19.456us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7f1a0e6a0000  [Unified Memory GPU page faults]
2.47845s  77.599us                    -               -         -         -         -  Tesla V100-SXM2         -         -                    14   0x7f1a0e705000  [Unified Memory GPU page faults]
2.47853s  82.974us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     2   0x7f1a11701000  [Unified Memory GPU page faults]
2.47861s  28.608us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     2   0x7f1a11608000  [Unified Memory GPU page faults]
2.47864s  38.783us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7f1a0e834000  [Unified Memory GPU page faults]
2.47868s  44.064us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7f1a0e803000  [Unified Memory GPU page faults]
2.47872s  36.543us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7f1a0e841000  [Unified Memory GPU page faults]
2.47876s  65.343us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7f1a0e88a000  [Unified Memory GPU page faults]
2.47883s  111.81us                    -               -         -         -         -  Tesla V100-SXM2         -         -                    14   0x7f1a0e91c000  [Unified Memory GPU page faults]
2.47893s  38.944us                    -               -         -         -         -  Tesla V100-SXM2         -         -                    14   0x7f1a0e802000  [Unified Memory GPU page faults]
