==33305== NVPROF is profiling process 33305, command: /home/ubuntu/graalvm-ce-java11-22.1.0/bin/java -jar /home/ubuntu/montecarlo-benchmarking/montecarlo/target/surefire/surefirebooter5640844651230439329.jar /home/ubuntu/montecarlo-benchmarking/montecarlo/target/surefire 2023-06-05T11-23-56_053-jvmRun1 suref
==33305== Profiling application: /home/ubuntu/graalvm-ce-java11-22.1.0/bin/java -jar /home/ubuntu/montecarlo-benchmarking/montecarlo/target/surefire/surefirebooter5640844651230439329.jar /home/ubuntu/montecarlo-benchmarking/montecarlo/target/surefire 2023-06-05T11-23-56_053-jvmRun1 suref
==33305== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*           Device   Context    Stream        Unified Memory  Virtual Address  Name
2.48984s  2.3971ms           (3200 1 1)       (256 1 1)        32        0B        0B  Tesla V100-SXM2         1        46                     -                -  rngSetupStates(unsigned int*, unsigned int*, int*, int*, float*, double*, int) [1328]
2.49700s  2.2956ms           (3200 1 1)       (256 1 1)        32        0B        0B  Tesla V100-SXM2         2        47                     -                -  rngSetupStates(unsigned int*, unsigned int*, int*, int*, float*, double*, int) [1340]
2.49959s  2.4096ms           (3200 1 1)       (256 1 1)        32        0B        0B  Tesla V100-SXM2         3        48                     -                -  rngSetupStates(unsigned int*, unsigned int*, int*, int*, float*, double*, int) [1352]
2.50581s  2.3747ms           (3200 1 1)       (256 1 1)        32        0B        0B  Tesla V100-SXM2         4        49                     -                -  rngSetupStates(unsigned int*, unsigned int*, int*, int*, float*, double*, int) [1364]
2.52032s         -                    -               -         -         -         -                -         -         -         PC 0x950ee1c0   0x7f1b96000000  [Unified Memory CPU page faults]
2.52058s         -                    -               -         -         -         -                -         -         -         PC 0x950ee1c0   0x7f1b97000000  [Unified Memory CPU page faults]
2.52075s         -                    -               -         -         -         -                -         -         -         PC 0x950ee1c0   0x7f1b8e000000  [Unified Memory CPU page faults]
2.52089s         -                    -               -         -         -         -                -         -         -         PC 0x950ee1c0   0x7f1b8f000000  [Unified Memory CPU page faults]
2.69015s         -                    -               -         -         -         -                -         -         -         PC 0x72d19b42   0x7f1b96010000  [Unified Memory CPU page faults]
2.69027s         -                    -               -         -         -         -                -         -         -         PC 0x72d19b42   0x7f1b97010000  [Unified Memory CPU page faults]
2.69034s         -                    -               -         -         -         -                -         -         -         PC 0x72d19b42   0x7f1b8e010000  [Unified Memory CPU page faults]
2.69039s         -                    -               -         -         -         -                -         -         -         PC 0x72d19b42   0x7f1b8f010000  [Unified Memory CPU page faults]
2.76811s         -                    -               -         -         -         -                -         -         -         PC 0x7c4686c5   0x7f1b96020000  [Unified Memory CPU page faults]
2.76825s         -                    -               -         -         -         -                -         -         -         PC 0x7c4686c5   0x7f1b97020000  [Unified Memory CPU page faults]
2.76905s         -                    -               -         -         -         -                -         -         -         PC 0x7c4686c5   0x7f1b8e020000  [Unified Memory CPU page faults]
2.77005s         -                    -               -         -         -         -                -         -         -         PC 0x7c4686c5   0x7f1b8f020000  [Unified Memory CPU page faults]
2.86015s         -                    -               -         -         -         -                -         -         -         PC 0x7c4788a4   0x7f1b96040000  [Unified Memory CPU page faults]
2.86032s         -                    -               -         -         -         -                -         -         -         PC 0x7c4788a4   0x7f1b97040000  [Unified Memory CPU page faults]
2.86051s         -                    -               -         -         -         -                -         -         -         PC 0x7c4788a4   0x7f1b8e040000  [Unified Memory CPU page faults]
