==29371== NVPROF is profiling process 29371, command: /home/ubuntu/graalvm-ce-java11-22.1.0/bin/java -jar /home/ubuntu/montecarlo-benchmarking/montecarlo/target/surefire/surefirebooter6937650041482487631.jar /home/ubuntu/montecarlo-benchmarking/montecarlo/target/surefire 2023-06-05T11-20-26_963-jvmRun1 suref
==29371== Profiling application: /home/ubuntu/graalvm-ce-java11-22.1.0/bin/java -jar /home/ubuntu/montecarlo-benchmarking/montecarlo/target/surefire/surefirebooter6937650041482487631.jar /home/ubuntu/montecarlo-benchmarking/montecarlo/target/surefire 2023-06-05T11-20-26_963-jvmRun1 suref
==29371== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*           Device   Context    Stream        Unified Memory  Virtual Address  Name
1.65170s  6.5030ms           (3200 1 1)       (256 1 1)        32        0B        0B  Tesla V100-SXM2         1        46                     -                -  rngSetupStates(unsigned int*, unsigned int*, int*, int*, float*, double*, int) [1322]
1.65182s  499.65us                    -               -         -         -         -  Tesla V100-SXM2         -         -                    13   0x7f75ee0ca000  [Unified Memory GPU page faults]
1.65232s  268.00us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     3   0x7f75ec028000  [Unified Memory GPU page faults]
1.65268s  167.33us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     3   0x7f75ee1f6000  [Unified Memory GPU page faults]
1.65285s  219.55us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     3   0x7f75ec064000  [Unified Memory GPU page faults]
1.65307s  100.61us                    -               -         -         -         -  Tesla V100-SXM2         -         -                    13   0x7f75ee066000  [Unified Memory GPU page faults]
1.65317s  286.46us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     3   0x7f75ec014000  [Unified Memory GPU page faults]
1.65346s  210.14us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     1   0x7f75ec091000  [Unified Memory GPU page faults]
1.65346s  380.51us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     1   0x7f75ec092000  [Unified Memory GPU page faults]
1.65405s  65.920us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7f75ee406000  [Unified Memory GPU page faults]
1.65412s  83.584us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7f75ee410000  [Unified Memory GPU page faults]
1.65420s  137.47us                    -               -         -         -         -  Tesla V100-SXM2         -         -                    13   0x7f75ee502000  [Unified Memory GPU page faults]
1.65434s  270.98us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     1   0x7f75ec100000  [Unified Memory GPU page faults]
1.65442s  324.00us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     1   0x7f75ec101000  [Unified Memory GPU page faults]
1.65474s  129.22us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     2   0x7f75ece81000  [Unified Memory GPU page faults]
1.65494s  104.16us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     2   0x7f75ecf08000  [Unified Memory GPU page faults]
1.65504s  18.720us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     2   0x7f75ece09000  [Unified Memory GPU page faults]
1.65510s  29.472us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7f75ee813000  [Unified Memory GPU page faults]
1.65513s  69.664us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7f75ee821000  [Unified Memory GPU page faults]
1.65516s  6.8970ms           (3200 1 1)       (256 1 1)        32        0B        0B  Tesla V100-SXM2         2        47                     -                -  rngSetupStates(unsigned int*, unsigned int*, int*, int*, float*, double*, int) [1328]
1.65520s  53.088us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7f75ee890000  [Unified Memory GPU page faults]
1.65525s  526.78us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     2   0x7f75e80c8000  [Unified Memory GPU page faults]
1.65526s  72.320us                    -               -         -         -         -  Tesla V100-SXM2         -         -                    14   0x7f75ee903000  [Unified Memory GPU page faults]
1.65532s  21.088us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     3   0x7f75ee801000  [Unified Memory GPU page faults]
1.65542s  55.424us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     1   0x7f75f7a01000  [Unified Memory GPU page faults]
1.65548s  61.088us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7f75eea00000  [Unified Memory GPU page faults]
1.65554s  210.50us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     1   0x7f75ec200000  [Unified Memory GPU page faults]
1.65555s  475.62us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     1   0x7f75ec200000  [Unified Memory GPU page faults]
1.65578s  275.17us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     2   0x7f75e6050000  [Unified Memory GPU page faults]
1.65603s  221.18us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     2   0x7f75ec222000  [Unified Memory GPU page faults]
1.65608s  239.65us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     1   0x7f75ec224000  [Unified Memory GPU page faults]
1.65613s  149.66us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     2   0x7f75e825a000  [Unified Memory GPU page faults]
1.65626s  109.47us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     8   0x7f75eec00000  [Unified Memory GPU page faults]
1.65628s  190.91us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     2   0x7f75e60f0000  [Unified Memory GPU page faults]
1.65637s  77.792us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     3   0x7f75eec80000  [Unified Memory GPU page faults]
1.65645s  262.50us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     2   0x7f75ec280000  [Unified Memory GPU page faults]
1.65651s  742.82us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     1   0x7f75ec280000  [Unified Memory GPU page faults]
1.65653s  382.27us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7f75e82c8000  [Unified Memory GPU page faults]
1.65691s  230.08us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     2   0x7f75e6120000  [Unified Memory GPU page faults]
1.65716s  125.44us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     2   0x7f75e60e0000  [Unified Memory GPU page faults]
1.65725s  46.464us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7f75eee3f000  [Unified Memory GPU page faults]
1.65728s  157.76us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     2   0x7f75e60cd000  [Unified Memory GPU page faults]
1.65729s  19.744us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7f75eee74000  [Unified Memory GPU page faults]
1.65732s  47.104us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7f75eee45000  [Unified Memory GPU page faults]
1.65736s  42.975us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     3   0x7f75eeed1000  [Unified Memory GPU page faults]
1.65744s  33.663us                    -               -         -         -         -  Tesla V100-SXM2         -         -                    14   0x7f75e80a2000  [Unified Memory GPU page faults]
1.65747s  164.32us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     2   0x7f75eef00000  [Unified Memory GPU page faults]
1.65748s  60.032us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     1   0x7f75e8070000  [Unified Memory GPU page faults]
1.65754s  333.28us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     1   0x7f75e6029000  [Unified Memory GPU page faults]
1.65763s  313.57us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     2   0x7f75ec300000  [Unified Memory GPU page faults]
