==51869== NVPROF is profiling process 51869, command: /home/ubuntu/graalvm-ce-java11-22.1.0/bin/java -jar /home/ubuntu/montecarlo-benchmarking/montecarlo/target/surefire/surefirebooter10447163416709160504.jar /home/ubuntu/montecarlo-benchmarking/montecarlo/target/surefire 2023-06-05T11-49-14_060-jvmRun1 sure
==51869== Profiling application: /home/ubuntu/graalvm-ce-java11-22.1.0/bin/java -jar /home/ubuntu/montecarlo-benchmarking/montecarlo/target/surefire/surefirebooter10447163416709160504.jar /home/ubuntu/montecarlo-benchmarking/montecarlo/target/surefire 2023-06-05T11-49-14_060-jvmRun1 sure
==51869== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*           Device   Context    Stream        Unified Memory  Virtual Address  Name
5.62226s  6.9301ms           (3200 1 1)       (256 1 1)        32        0B        0B  Tesla V100-SXM2         1        46                     -                -  rngSetupStates(unsigned int*, unsigned int*, int*, int*, float*, double*, int) [1322]
5.62237s  512.35us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     1   0x7fcb180c8000  [Unified Memory GPU page faults]
5.62288s  241.50us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7fcb1a828000  [Unified Memory GPU page faults]
5.62318s  110.30us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     1   0x7fcb18140000  [Unified Memory GPU page faults]
5.62326s  297.37us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7fcb181f9000  [Unified Memory GPU page faults]
5.62355s  133.09us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     1   0x7fcb1a865000  [Unified Memory GPU page faults]
5.62361s  206.49us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     2   0x7fcb1a850000  [Unified Memory GPU page faults]
5.62382s  57.791us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     1   0x7fcb1830e000  [Unified Memory GPU page faults]
5.62384s  201.53us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7fcb18065000  [Unified Memory GPU page faults]
5.62404s  161.41us                    -               -         -         -         -  Tesla V100-SXM2         -         -                    12   0x7fcb182ce000  [Unified Memory GPU page faults]
5.62420s  94.719us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     2   0x7fcb1b500000  [Unified Memory GPU page faults]
5.62436s  88.287us                    -               -         -         -         -  Tesla V100-SXM2         -         -                    14   0x7fcb18352000  [Unified Memory GPU page faults]
5.62457s  95.327us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7fcb18402000  [Unified Memory GPU page faults]
5.62466s  140.38us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7fcb18411000  [Unified Memory GPU page faults]
5.62480s  184.89us                    -               -         -         -         -  Tesla V100-SXM2         -         -                    13   0x7fcb18519000  [Unified Memory GPU page faults]
