==44208== NVPROF is profiling process 44208, command: /home/ubuntu/graalvm-ce-java11-22.1.0/bin/java -jar /home/ubuntu/montecarlo-benchmarking/montecarlo/target/surefire/surefirebooter2632458524439464658.jar /home/ubuntu/montecarlo-benchmarking/montecarlo/target/surefire 2023-06-05T11-37-32_095-jvmRun1 suref
==44208== Profiling application: /home/ubuntu/graalvm-ce-java11-22.1.0/bin/java -jar /home/ubuntu/montecarlo-benchmarking/montecarlo/target/surefire/surefirebooter2632458524439464658.jar /home/ubuntu/montecarlo-benchmarking/montecarlo/target/surefire 2023-06-05T11-37-32_095-jvmRun1 suref
==44208== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*           Device   Context    Stream        Unified Memory  Virtual Address  Name
5.53457s  2.7212ms           (3200 1 1)       (256 1 1)        32        0B        0B  Tesla V100-SXM2         1        46                     -                -  rngSetupStates(unsigned int*, unsigned int*, int*, int*, float*, double*, int) [1328]
5.54149s  2.6638ms           (3200 1 1)       (256 1 1)        32        0B        0B  Tesla V100-SXM2         2        47                     -                -  rngSetupStates(unsigned int*, unsigned int*, int*, int*, float*, double*, int) [1340]
5.54354s  2.7267ms           (3200 1 1)       (256 1 1)        32        0B        0B  Tesla V100-SXM2         3        48                     -                -  rngSetupStates(unsigned int*, unsigned int*, int*, int*, float*, double*, int) [1352]
5.54549s  2.6627ms           (3200 1 1)       (256 1 1)        32        0B        0B  Tesla V100-SXM2         4        49                     -                -  rngSetupStates(unsigned int*, unsigned int*, int*, int*, float*, double*, int) [1364]
5.55441s         -                    -               -         -         -         -                -         -         -          PC 0xeb9f1c0   0x7f1bf4000000  [Unified Memory CPU page faults]
5.55457s         -                    -               -         -         -         -                -         -         -          PC 0xeb9f1c0   0x7f1be8000000  [Unified Memory CPU page faults]
5.55467s         -                    -               -         -         -         -                -         -         -          PC 0xeb9f1c0   0x7f1be4000000  [Unified Memory CPU page faults]
5.55475s         -                    -               -         -         -         -                -         -         -          PC 0xeb9f1c0   0x7f1be0000000  [Unified Memory CPU page faults]
5.73342s         -                    -               -         -         -         -                -         -         -         PC 0xf4cc3dc2   0x7f1bf4010000  [Unified Memory CPU page faults]
5.73356s         -                    -               -         -         -         -                -         -         -         PC 0xf4cc3dc2   0x7f1be8010000  [Unified Memory CPU page faults]
5.73363s         -                    -               -         -         -         -                -         -         -         PC 0xf4cc3dc2   0x7f1be4010000  [Unified Memory CPU page faults]
5.73372s         -                    -               -         -         -         -                -         -         -         PC 0xf4cc3dc2   0x7f1be0010000  [Unified Memory CPU page faults]
5.80238s         -                    -               -         -         -         -                -         -         -         PC 0xf4cc3dc2   0x7f1bf4020000  [Unified Memory CPU page faults]
5.80251s         -                    -               -         -         -         -                -         -         -         PC 0xf4cc3dc2   0x7f1be8020000  [Unified Memory CPU page faults]
5.80260s         -                    -               -         -         -         -                -         -         -         PC 0xf4cc3dc2   0x7f1be4020000  [Unified Memory CPU page faults]
5.80270s         -                    -               -         -         -         -                -         -         -         PC 0xf4cc3dc2   0x7f1be0020000  [Unified Memory CPU page faults]
5.91811s         -                    -               -         -         -         -                -         -         -         PC 0xf4cd9e0e   0x7f1bf4040000  [Unified Memory CPU page faults]
5.91827s         -                    -               -         -         -         -                -         -         -         PC 0xf4cd9e0e   0x7f1be8040000  [Unified Memory CPU page faults]
5.91841s         -                    -               -         -         -         -                -         -         -         PC 0xf4cd9e0e   0x7f1be4040000  [Unified Memory CPU page faults]
5.91854s         -                    -               -         -         -         -                -         -         -         PC 0xf4cd9e0e   0x7f1be0040000  [Unified Memory CPU page faults]
5.95195s         -                    -               -         -         -         -                -         -         -         PC 0xf4cdd324   0x7f1bf4080000  [Unified Memory CPU page faults]
5.95221s         -                    -               -         -         -         -                -         -         -         PC 0xf4cdd324   0x7f1be8080000  [Unified Memory CPU page faults]
5.95252s         -                    -               -         -         -         -                -         -         -         PC 0xf4cdd324   0x7f1be4080000  [Unified Memory CPU page faults]
5.95279s         -                    -               -         -         -         -                -         -         -         PC 0xf4cdd324   0x7f1be0080000  [Unified Memory CPU page faults]
5.98758s         -                    -               -         -         -         -                -         -         -         PC 0xf4cdd324   0x7f1bf4100000  [Unified Memory CPU page faults]
5.98807s         -                    -               -         -         -         -                -         -         -         PC 0xf4cdd324   0x7f1be8100000  [Unified Memory CPU page faults]
5.98851s         -                    -               -         -         -         -                -         -         -         PC 0xf4cdd324   0x7f1be4100000  [Unified Memory CPU page faults]
5.98897s         -                    -               -         -         -         -                -         -         -         PC 0xf4cdd324   0x7f1be0100000  [Unified Memory CPU page faults]
6.15612s         -                    -               -         -         -         -                -         -         -         PC 0xf4cdf857   0x7f1bf4200000  [Unified Memory CPU page faults]
6.15624s         -                    -               -         -         -         -                -         -         -         PC 0xf4cdf857   0x7f1be8200000  [Unified Memory CPU page faults]
6.15632s         -                    -               -         -         -         -                -         -         -         PC 0xf4cdf857   0x7f1be4200000  [Unified Memory CPU page faults]
6.15640s         -                    -               -         -         -         -                -         -         -         PC 0xf4cdf857   0x7f1be0200000  [Unified Memory CPU page faults]
6.15952s         -                    -               -         -         -         -                -         -         -         PC 0xf4cdf857   0x7f1bf4210000  [Unified Memory CPU page faults]
6.15962s         -                    -               -         -         -         -                -         -         -         PC 0xf4cdf857   0x7f1be8210000  [Unified Memory CPU page faults]
6.15970s         -                    -               -         -         -         -                -         -         -         PC 0xf4cdf857   0x7f1be4210000  [Unified Memory CPU page faults]
6.15978s         -                    -               -         -         -         -                -         -         -         PC 0xf4cdf857   0x7f1be0210000  [Unified Memory CPU page faults]
6.16289s         -                    -               -         -         -         -                -         -         -         PC 0xf4cdf857   0x7f1bf4220000  [Unified Memory CPU page faults]
6.16301s         -                    -               -         -         -         -                -         -         -         PC 0xf4cdf857   0x7f1be8220000  [Unified Memory CPU page faults]
6.16311s         -                    -               -         -         -         -                -         -         -         PC 0xf4cdf857   0x7f1be4220000  [Unified Memory CPU page faults]
6.16321s         -                    -               -         -         -         -                -         -         -         PC 0xf4cdf857   0x7f1be0220000  [Unified Memory CPU page faults]
6.16937s         -                    -               -         -         -         -                -         -         -         PC 0xf4cdf857   0x7f1bf4240000  [Unified Memory CPU page faults]
6.16954s         -                    -               -         -         -         -                -         -         -         PC 0xf4cdf857   0x7f1be8240000  [Unified Memory CPU page faults]
6.16970s         -                    -               -         -         -         -                -         -         -         PC 0xf4cdf857   0x7f1be4240000  [Unified Memory CPU page faults]
6.16985s         -                    -               -         -         -         -                -         -         -         PC 0xf4cdf857   0x7f1be0240000  [Unified Memory CPU page faults]
6.18206s         -                    -               -         -         -         -                -         -         -         PC 0xf4cdf857   0x7f1bf4280000  [Unified Memory CPU page faults]
6.18232s         -                    -               -         -         -         -                -         -         -         PC 0xf4cdf857   0x7f1be8280000  [Unified Memory CPU page faults]
6.18256s         -                    -               -         -         -         -                -         -         -         PC 0xf4cdf857   0x7f1be4280000  [Unified Memory CPU page faults]
6.18281s         -                    -               -         -         -         -                -         -         -         PC 0xf4cdf857   0x7f1be0280000  [Unified Memory CPU page faults]
6.20736s         -                    -               -         -         -         -                -         -         -         PC 0xf4cdf857   0x7f1bf4300000  [Unified Memory CPU page faults]
6.20783s         -                    -               -         -         -         -                -         -         -         PC 0xf4cdf857   0x7f1be8300000  [Unified Memory CPU page faults]
6.20827s         -                    -               -         -         -         -                -         -         -         PC 0xf4cdf857   0x7f1be4300000  [Unified Memory CPU page faults]
6.20874s         -                    -               -         -         -         -                -         -         -         PC 0xf4cdf857   0x7f1be0300000  [Unified Memory CPU page faults]
6.25970s         -                    -               -         -         -         -                -         -         -         PC 0xf4cdf857   0x7f1bf4400000  [Unified Memory CPU page faults]
6.25981s         -                    -               -         -         -         -                -         -         -         PC 0xf4cdf857   0x7f1be8400000  [Unified Memory CPU page faults]
6.25989s         -                    -               -         -         -         -                -         -         -         PC 0xf4cdf857   0x7f1be4400000  [Unified Memory CPU page faults]
6.25996s         -                    -               -         -         -         -                -         -         -         PC 0xf4cdf857   0x7f1be0400000  [Unified Memory CPU page faults]
6.26306s         -                    -               -         -         -         -                -         -         -         PC 0xf4cdf857   0x7f1bf4410000  [Unified Memory CPU page faults]
6.26316s         -                    -               -         -         -         -                -         -         -         PC 0xf4cdf857   0x7f1be8410000  [Unified Memory CPU page faults]
6.26323s         -                    -               -         -         -         -                -         -         -         PC 0xf4cdf857   0x7f1be4410000  [Unified Memory CPU page faults]
6.26330s         -                    -               -         -         -         -                -         -         -         PC 0xf4cdf857   0x7f1be0410000  [Unified Memory CPU page faults]
6.26639s         -                    -               -         -         -         -                -         -         -         PC 0xf4cdf857   0x7f1bf4420000  [Unified Memory CPU page faults]
6.26651s         -                    -               -         -         -         -                -         -         -         PC 0xf4cdf857   0x7f1be8420000  [Unified Memory CPU page faults]
6.26660s         -                    -               -         -         -         -                -         -         -         PC 0xf4cdf857   0x7f1be4420000  [Unified Memory CPU page faults]
6.26671s         -                    -               -         -         -         -                -         -         -         PC 0xf4cdf857   0x7f1be0420000  [Unified Memory CPU page faults]
6.27288s         -                    -               -         -         -         -                -         -         -         PC 0xf4cdf857   0x7f1bf4440000  [Unified Memory CPU page faults]
6.27304s         -                    -               -         -         -         -                -         -         -         PC 0xf4cdf857   0x7f1be8440000  [Unified Memory CPU page faults]
6.27319s         -                    -               -         -         -         -                -         -         -         PC 0xf4cdf857   0x7f1be4440000  [Unified Memory CPU page faults]
6.27333s         -                    -               -         -         -         -                -         -         -         PC 0xf4cdf857   0x7f1be0440000  [Unified Memory CPU page faults]
6.28556s         -                    -               -         -         -         -                -         -         -         PC 0xf4cdf857   0x7f1bf4480000  [Unified Memory CPU page faults]
6.28585s         -                    -               -         -         -         -                -         -         -         PC 0xf4cdf857   0x7f1be8480000  [Unified Memory CPU page faults]
6.28610s         -                    -               -         -         -         -                -         -         -         PC 0xf4cdf857   0x7f1be4480000  [Unified Memory CPU page faults]
6.28636s         -                    -               -         -         -         -                -         -         -         PC 0xf4cdf857   0x7f1be0480000  [Unified Memory CPU page faults]
6.31085s         -                    -               -         -         -         -                -         -         -         PC 0xf4cdf857   0x7f1bf4500000  [Unified Memory CPU page faults]
6.31131s         -                    -               -         -         -         -                -         -         -         PC 0xf4cdf857   0x7f1be8500000  [Unified Memory CPU page faults]
6.31178s         -                    -               -         -         -         -                -         -         -         PC 0xf4cdf857   0x7f1be4500000  [Unified Memory CPU page faults]
6.31223s         -                    -               -         -         -         -                -         -         -         PC 0xf4cdf857   0x7f1be0500000  [Unified Memory CPU page faults]
6.36152s         -                    -               -         -         -         -                -         -         -         PC 0xf4cdf857   0x7f1bf4600000  [Unified Memory CPU page faults]
6.36164s         -                    -               -         -         -         -                -         -         -         PC 0xf4cdf857   0x7f1be8600000  [Unified Memory CPU page faults]
6.36174s         -                    -               -         -         -         -                -         -         -         PC 0xf4cdf857   0x7f1be4600000  [Unified Memory CPU page faults]
6.36182s         -                    -               -         -         -         -                -         -         -         PC 0xf4cdf857   0x7f1be0600000  [Unified Memory CPU page faults]
6.36492s         -                    -               -         -         -         -                -         -         -         PC 0xf4cdf857   0x7f1bf4610000  [Unified Memory CPU page faults]
6.36502s         -                    -               -         -         -         -                -         -         -         PC 0xf4cdf857   0x7f1be8610000  [Unified Memory CPU page faults]
6.36511s         -                    -               -         -         -         -                -         -         -         PC 0xf4cdf857   0x7f1be4610000  [Unified Memory CPU page faults]
6.36519s         -                    -               -         -         -         -                -         -         -         PC 0xf4cdf857   0x7f1be0610000  [Unified Memory CPU page faults]
6.36828s         -                    -               -         -         -         -                -         -         -         PC 0xf4cdf857   0x7f1bf4620000  [Unified Memory CPU page faults]
6.36843s         -                    -               -         -         -         -                -         -         -         PC 0xf4cdf857   0x7f1be8620000  [Unified Memory CPU page faults]
6.36853s         -                    -               -         -         -         -                -         -         -         PC 0xf4cdf857   0x7f1be4620000  [Unified Memory CPU page faults]
6.36864s         -                    -               -         -         -         -                -         -         -         PC 0xf4cdf857   0x7f1be0620000  [Unified Memory CPU page faults]
6.37480s         -                    -               -         -         -         -                -         -         -         PC 0xf4cdf857   0x7f1bf4640000  [Unified Memory CPU page faults]
6.37498s         -                    -               -         -         -         -                -         -         -         PC 0xf4cdf857   0x7f1be8640000  [Unified Memory CPU page faults]
6.37514s         -                    -               -         -         -         -                -         -         -         PC 0xf4cdf857   0x7f1be4640000  [Unified Memory CPU page faults]
6.37529s         -                    -               -         -         -         -                -         -         -         PC 0xf4cdf857   0x7f1be0640000  [Unified Memory CPU page faults]
6.38749s         -                    -               -         -         -         -                -         -         -         PC 0xf4cdf857   0x7f1bf4680000  [Unified Memory CPU page faults]
