Version,Parallelization_method,Problem_scaling,Number_of_GPUs,Total_number_of_options,Number_of_paths,Init_time_ms,Execution_time_ms
baseline,threaded,weak,1,262144,262144,119.623,268.568
baseline,threaded,weak,1,262144,262144,120.193,267.632
baseline,threaded,weak,1,262144,262144,121.318,267.674
baseline,threaded,weak,1,262144,262144,120.352,268.28
baseline,streamed,weak,1,262144,262144,7.3433,268.438
baseline,streamed,weak,1,262144,262144,7.18509,269.016
baseline,streamed,weak,1,262144,262144,7.18248,268.54
baseline,streamed,weak,1,262144,262144,7.1808,268.438
baseline,streamed,weak,1,262144,262144,7.16569,268.569
baseline,threaded,strong,1,262144,262144,118.197,268.676
baseline,threaded,strong,1,262144,262144,120.414,268.523
baseline,threaded,strong,1,262144,262144,119.742,268.514
baseline,threaded,strong,1,262144,262144,120.082,269.333
baseline,threaded,strong,1,262144,262144,119.513,268.639
baseline,streamed,strong,1,262144,262144,7.30201,269.91
baseline,streamed,strong,1,262144,262144,7.0982,269.816
baseline,streamed,strong,1,262144,262144,7.18666,270.029
baseline,streamed,strong,1,262144,262144,7.24367,269.027
baseline,streamed,strong,1,262144,262144,7.32643,269.11
baseline,threaded,weak,1,1048576,262144,129.474,1078.29
baseline,threaded,weak,1,1048576,262144,129.907,1079.32
baseline,threaded,weak,1,1048576,262144,130.309,1080.82
baseline,threaded,weak,1,1048576,262144,132.448,1078.85
baseline,threaded,weak,1,1048576,262144,130.364,1079.57
baseline,streamed,weak,1,1048576,262144,21.6184,1088.45
baseline,streamed,weak,1,1048576,262144,18.2636,1083.95
baseline,streamed,weak,1,1048576,262144,17.9866,1085.51
baseline,streamed,weak,1,1048576,262144,18.9897,1090.68
baseline,streamed,weak,1,1048576,262144,19.391,1090.26
baseline,threaded,strong,1,1048576,262144,131.439,1087.94
baseline,threaded,strong,1,1048576,262144,130.6,1090.28
baseline,threaded,strong,1,1048576,262144,129.018,1087.37
baseline,threaded,strong,1,1048576,262144,140.858,1089.99
baseline,threaded,strong,1,1048576,262144,130.902,1090.01
baseline,streamed,strong,1,1048576,262144,17.6415,1093.6
baseline,streamed,strong,1,1048576,262144,18.4087,1095.24
baseline,streamed,strong,1,1048576,262144,18.1753,1101.69
baseline,streamed,strong,1,1048576,262144,17.9173,1099.77
baseline,streamed,strong,1,1048576,262144,18.7537,1130.17
baseline,threaded,weak,1,16777216,262144,370.155,17682.9
baseline,threaded,weak,1,16777216,262144,369.976,17692.7
baseline,threaded,weak,1,16777216,262144,370.678,17708.7
baseline,threaded,weak,1,16777216,262144,372.929,17697.2
baseline,threaded,weak,1,16777216,262144,374.148,17706
baseline,streamed,weak,1,16777216,262144,260.097,17748.2
baseline,streamed,weak,1,16777216,262144,270.237,17782.3
baseline,streamed,weak,1,16777216,262144,298.476,17893.9
baseline,streamed,weak,1,16777216,262144,337.27,17709.4
baseline,streamed,weak,1,16777216,262144,270.04,17768.1
baseline,threaded,strong,1,16777216,262144,382.439,17723.7
baseline,threaded,strong,1,16777216,262144,376.32,17736.8
baseline,threaded,strong,1,16777216,262144,393.595,17819.7
baseline,threaded,strong,1,16777216,262144,428.05,17645.1
baseline,threaded,strong,1,16777216,262144,400.771,17706.6
baseline,streamed,strong,1,16777216,262144,259.436,17719.8
baseline,streamed,strong,1,16777216,262144,258.017,17728
baseline,streamed,strong,1,16777216,262144,258.683,17728.5
baseline,streamed,strong,1,16777216,262144,258.431,17710.8
baseline,streamed,strong,1,16777216,262144,258.382,17713.5
baseline,threaded,weak,1,67108864,262144,1123.26,2053.09
