Parallelization_method,Problem_scaling,Number_of_GPUs,Total_number_of_options,Number_of_paths,Init_time_ms,Execution_time_ms
streamed,strong,1,262144,262144,3.80951,288.437
streamed,strong,1,262144,262144,3.31982,260.841
streamed,strong,1,262144,262144,3.3351,261.019
streamed,strong,1,262144,262144,3.33795,260.885
streamed,strong,1,262144,262144,23.8035,260.702
streamed,strong,1,262144,262144,24.6508,261.907
threaded,strong,1,262144,262144,117.73,260.925
threaded,strong,1,262144,262144,117.17,260.914
threaded,strong,1,262144,262144,115.311,260.999
threaded,strong,1,262144,262144,115.667,261.906
threaded,strong,1,262144,262144,191.962,261.259
threaded,strong,1,262144,262144,204.578,261.653
streamed,weak,1,262144,262144,3.34074,261.102
streamed,weak,1,262144,262144,3.38155,261.287
streamed,weak,1,262144,262144,3.35162,261.151
streamed,weak,1,262144,262144,3.34809,260.849
streamed,weak,1,262144,262144,23.7711,261.749
streamed,weak,1,262144,262144,24.6716,262.851
threaded,weak,1,262144,262144,116.225,261.682
threaded,weak,1,262144,262144,115.23,261.659
threaded,weak,1,262144,262144,115.81,261.703
threaded,weak,1,262144,262144,117.065,261.912
threaded,weak,1,262144,262144,192.775,261.714
threaded,weak,1,262144,262144,204.185,262.801
streamed,strong,1,1048576,262144,3.81108,1073.26
streamed,strong,1,1048576,262144,3.32692,1047.19
streamed,strong,1,1048576,262144,3.42849,1048.21
streamed,strong,1,1048576,262144,3.38069,1048.85
streamed,strong,1,1048576,262144,23.8791,1048.08
streamed,strong,1,1048576,262144,24.5947,1051.37
threaded,strong,1,1048576,262144,117.286,1048.14
threaded,strong,1,1048576,262144,116.777,1048.19
threaded,strong,1,1048576,262144,117.048,1048.21
threaded,strong,1,1048576,262144,117.187,1050.01
threaded,strong,1,1048576,262144,197.975,1051.87
threaded,strong,1,1048576,262144,204.338,1053.28
streamed,weak,1,1048576,262144,3.35371,1049.84
streamed,weak,1,1048576,262144,3.36185,1053.59
streamed,weak,1,1048576,262144,3.40165,1058.29
streamed,weak,1,1048576,262144,3.35658,1056.61
streamed,weak,1,1048576,262144,24.0265,1056.15
streamed,weak,1,1048576,262144,24.6035,1057.49
threaded,weak,1,1048576,262144,117.828,1056.8
threaded,weak,1,1048576,262144,117.537,1057.74
threaded,weak,1,1048576,262144,116.427,1056.42
threaded,weak,1,1048576,262144,117.326,1056.89
threaded,weak,1,1048576,262144,194.914,1057.72
threaded,weak,1,1048576,262144,205.47,1058.62
streamed,strong,1,16777216,262144,3.77769,17121.9
streamed,strong,1,16777216,262144,3.35519,17140
streamed,strong,1,16777216,262144,3.449,17189.4
streamed,strong,1,16777216,262144,3.78327,17225.6
streamed,strong,1,16777216,262144,23.8875,17210.2
streamed,strong,1,16777216,262144,24.7656,17231.5
threaded,strong,1,16777216,262144,120.739,17201.6
threaded,strong,1,16777216,262144,115.004,17207.7
threaded,strong,1,16777216,262144,115.869,17200.2
threaded,strong,1,16777216,262144,115.759,17204.3
threaded,strong,1,16777216,262144,189.883,17233.6
