Parallelization_method,Problem_scaling,Number_of_GPUs,Total_number_of_options,Number_of_paths,Init_time_ms,Execution_time_ms
threaded,strong,1,104857,262144,118.78,283.335
threaded,strong,1,104857,262144,112.581,272.737
threaded,strong,1,104857,262144,110.908,272.826
threaded,strong,1,104857,262144,109.956,272.72
threaded,strong,1,104857,262144,110.386,272.778
threaded,strong,1,104857,262144,109.999,272.737
threaded,strong,1,104857,262144,110.747,272.742
threaded,strong,1,104857,262144,111.059,272.8
threaded,strong,1,104857,262144,111.011,272.979
threaded,strong,1,104857,262144,112.007,272.801
threaded,strong,1,104857,262144,110.452,272.778
threaded,strong,1,104857,262144,164.391,272.643
streamed,strong,1,104857,262144,9.78976,266.398
streamed,strong,1,104857,262144,9.75904,266.44
streamed,strong,1,104857,262144,9.80046,273.24
streamed,strong,1,104857,262144,9.80712,267.098
streamed,strong,1,104857,262144,9.77108,266.786
streamed,strong,1,104857,262144,9.77135,266.672
streamed,strong,1,104857,262144,9.8374,267.003
streamed,strong,1,104857,262144,9.79152,267.22
streamed,strong,1,104857,262144,9.77295,267.007
streamed,strong,1,104857,262144,9.87642,267.826
streamed,strong,1,104857,262144,9.76405,266.956
streamed,strong,1,104857,262144,10.0031,266.821
threaded,strong,1,33554432,262144,565.868,85440.9
threaded,strong,1,33554432,262144,571.294,85579.9
threaded,strong,1,33554432,262144,565.117,85559.3
threaded,strong,1,33554432,262144,562.658,85531.1
threaded,strong,1,33554432,262144,562.411,85522.4
threaded,strong,1,33554432,262144,563.674,85527.6
threaded,strong,1,33554432,262144,567.78,85517
threaded,strong,1,33554432,262144,567.447,85579.5
threaded,strong,1,33554432,262144,562.708,85573
threaded,strong,1,33554432,262144,562.304,85574.2
threaded,strong,1,33554432,262144,570.657,85547
threaded,strong,1,33554432,262144,626.838,85561.1
streamed,strong,1,33554432,262144,462.525,85558.4
streamed,strong,1,33554432,262144,461.03,85550.9
streamed,strong,1,33554432,262144,459.819,85575.4
streamed,strong,1,33554432,262144,461.071,85555.7
streamed,strong,1,33554432,262144,461.286,85557.8
streamed,strong,1,33554432,262144,463.656,85573.9
streamed,strong,1,33554432,262144,463.92,85539.5
streamed,strong,1,33554432,262144,460.274,85557.5
streamed,strong,1,33554432,262144,463.262,85534.2
streamed,strong,1,33554432,262144,462.617,85546.4
streamed,strong,1,33554432,262144,460.616,85563
streamed,strong,1,33554432,262144,464.591,85578.3
threaded,weak,1,33554432,262144,575.89,85404.2
threaded,weak,1,33554432,262144,568.728,85537.1
threaded,weak,1,33554432,262144,578.323,85563.8
threaded,weak,1,33554432,262144,569.528,85593.3
threaded,weak,1,33554432,262144,565.751,85443.4
threaded,weak,1,33554432,262144,562.758,85441.6
threaded,weak,1,33554432,262144,568.809,85410.5
threaded,weak,1,33554432,262144,567.856,85422.5
threaded,weak,1,33554432,262144,568.272,85450.6
threaded,weak,1,33554432,262144,575.287,85447
threaded,weak,1,33554432,262144,564.594,85492.8
threaded,weak,1,33554432,262144,623.002,85499.9
threaded,weak,1,33554432,262144,622.88,85449.4
