==53186== NVPROF is profiling process 53186, command: ./MonteCarlo --scaling=weak --method=streamed
==53186== Profiling application: ./MonteCarlo --scaling=weak --method=streamed
==53186== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*           Device   Context    Stream        Unified Memory  Virtual Address  Name
12.6798s  2.8464ms           (3200 1 1)       (256 1 1)        32        0B        0B  Tesla V100-SXM2         1         7                     -                -  rngSetupStates(curandStateXORWOW*, int) [237]
12.6807s  2.8495ms           (3200 1 1)       (256 1 1)        32        0B        0B  Tesla V100-SXM2         2        16                     -                -  rngSetupStates(curandStateXORWOW*, int) [246]
13.5159s  237.92us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed2c000000  [Unified Memory Memcpy HtoD]
13.5162s  235.46us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed2c200000  [Unified Memory Memcpy HtoD]
13.5165s  231.55us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed2c400000  [Unified Memory Memcpy HtoD]
13.5168s  234.82us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed2c600000  [Unified Memory Memcpy HtoD]
13.5170s  235.81us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed2c800000  [Unified Memory Memcpy HtoD]
13.5173s  235.62us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed2ca00000  [Unified Memory Memcpy HtoD]
13.5176s  236.96us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed2cc00000  [Unified Memory Memcpy HtoD]
13.5179s  238.43us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed2ce00000  [Unified Memory Memcpy HtoD]
13.5182s  235.52us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed2d000000  [Unified Memory Memcpy HtoD]
13.5185s  239.01us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed2d200000  [Unified Memory Memcpy HtoD]
13.5188s  239.23us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed2d400000  [Unified Memory Memcpy HtoD]
13.5191s  240.48us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed2d600000  [Unified Memory Memcpy HtoD]
13.5194s  238.88us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed2d800000  [Unified Memory Memcpy HtoD]
13.5197s  238.40us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed2da00000  [Unified Memory Memcpy HtoD]
13.5200s  242.43us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed2dc00000  [Unified Memory Memcpy HtoD]
13.5202s  231.68us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed2de00000  [Unified Memory Memcpy HtoD]
13.5205s  244.10us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed2e000000  [Unified Memory Memcpy HtoD]
13.5208s  238.94us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed2e200000  [Unified Memory Memcpy HtoD]
13.5211s  238.66us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed2e400000  [Unified Memory Memcpy HtoD]
13.5214s  239.90us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed2e600000  [Unified Memory Memcpy HtoD]
13.5217s  238.02us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed2e800000  [Unified Memory Memcpy HtoD]
13.5220s  240.13us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed2ea00000  [Unified Memory Memcpy HtoD]
13.5223s  239.49us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed2ec00000  [Unified Memory Memcpy HtoD]
13.5226s  240.77us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed2ee00000  [Unified Memory Memcpy HtoD]
13.5229s  238.05us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed2f000000  [Unified Memory Memcpy HtoD]
13.5231s  239.42us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed2f200000  [Unified Memory Memcpy HtoD]
13.5234s  236.77us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed2f400000  [Unified Memory Memcpy HtoD]
13.5237s  237.79us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed2f600000  [Unified Memory Memcpy HtoD]
13.5240s  235.07us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed2f800000  [Unified Memory Memcpy HtoD]
13.5243s  235.42us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed2fa00000  [Unified Memory Memcpy HtoD]
13.5246s  237.06us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed2fc00000  [Unified Memory Memcpy HtoD]
13.5249s  236.38us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed2fe00000  [Unified Memory Memcpy HtoD]
13.5252s  241.15us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed30000000  [Unified Memory Memcpy HtoD]
13.5255s  231.46us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed30200000  [Unified Memory Memcpy HtoD]
13.5258s  235.17us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed30400000  [Unified Memory Memcpy HtoD]
13.5261s  236.38us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed30600000  [Unified Memory Memcpy HtoD]
13.5264s  237.86us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed30800000  [Unified Memory Memcpy HtoD]
13.5267s  239.58us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed30a00000  [Unified Memory Memcpy HtoD]
13.5270s  234.50us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed30c00000  [Unified Memory Memcpy HtoD]
13.5272s  236.90us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed30e00000  [Unified Memory Memcpy HtoD]
13.5275s  239.52us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed31000000  [Unified Memory Memcpy HtoD]
13.5278s  237.92us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed31200000  [Unified Memory Memcpy HtoD]
13.5281s  238.40us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed31400000  [Unified Memory Memcpy HtoD]
13.5284s  238.91us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed31600000  [Unified Memory Memcpy HtoD]
13.5287s  236.22us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed31800000  [Unified Memory Memcpy HtoD]
13.5292s  241.76us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed31a00000  [Unified Memory Memcpy HtoD]
13.5295s  216.48us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed31c00000  [Unified Memory Memcpy HtoD]
13.5298s  211.87us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed31e00000  [Unified Memory Memcpy HtoD]
13.5301s  213.47us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed32000000  [Unified Memory Memcpy HtoD]
13.5304s  212.74us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed32200000  [Unified Memory Memcpy HtoD]
13.5306s  211.74us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed32400000  [Unified Memory Memcpy HtoD]
13.5309s  212.67us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed32600000  [Unified Memory Memcpy HtoD]
13.5312s  215.65us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed32800000  [Unified Memory Memcpy HtoD]
13.5315s  214.02us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed32a00000  [Unified Memory Memcpy HtoD]
13.5318s  212.35us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed32c00000  [Unified Memory Memcpy HtoD]
13.5321s  213.50us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed32e00000  [Unified Memory Memcpy HtoD]
13.5323s  208.45us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed33000000  [Unified Memory Memcpy HtoD]
13.5326s  209.76us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed33200000  [Unified Memory Memcpy HtoD]
13.5329s  211.52us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed33400000  [Unified Memory Memcpy HtoD]
13.5332s  211.71us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed33600000  [Unified Memory Memcpy HtoD]
13.5335s  212.61us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed33800000  [Unified Memory Memcpy HtoD]
13.5338s  215.87us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed33a00000  [Unified Memory Memcpy HtoD]
13.5340s  212.86us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed33c00000  [Unified Memory Memcpy HtoD]
13.5343s  214.21us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed33e00000  [Unified Memory Memcpy HtoD]
13.5346s  215.62us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed34000000  [Unified Memory Memcpy HtoD]
13.5349s  216.03us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed34200000  [Unified Memory Memcpy HtoD]
13.5352s  214.43us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed34400000  [Unified Memory Memcpy HtoD]
13.5354s  213.54us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed34600000  [Unified Memory Memcpy HtoD]
13.5357s  214.69us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed34800000  [Unified Memory Memcpy HtoD]
13.5360s  214.66us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed34a00000  [Unified Memory Memcpy HtoD]
13.5363s  213.50us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed34c00000  [Unified Memory Memcpy HtoD]
13.5366s  219.62us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed34e00000  [Unified Memory Memcpy HtoD]
13.5369s  213.98us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed35000000  [Unified Memory Memcpy HtoD]
13.5372s  214.69us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed35200000  [Unified Memory Memcpy HtoD]
13.5374s  213.63us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed35400000  [Unified Memory Memcpy HtoD]
13.5377s  213.09us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed35600000  [Unified Memory Memcpy HtoD]
13.5380s  212.74us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed35800000  [Unified Memory Memcpy HtoD]
13.5383s  215.87us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed35a00000  [Unified Memory Memcpy HtoD]
13.5386s  214.53us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed35c00000  [Unified Memory Memcpy HtoD]
13.5388s  215.01us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed35e00000  [Unified Memory Memcpy HtoD]
13.5391s  213.50us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed36000000  [Unified Memory Memcpy HtoD]
13.5394s  214.08us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed36200000  [Unified Memory Memcpy HtoD]
13.5397s  214.82us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed36400000  [Unified Memory Memcpy HtoD]
13.5400s  215.33us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed36600000  [Unified Memory Memcpy HtoD]
13.5402s  216.16us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed36800000  [Unified Memory Memcpy HtoD]
13.5405s  212.83us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed36a00000  [Unified Memory Memcpy HtoD]
13.5408s  211.68us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed36c00000  [Unified Memory Memcpy HtoD]
13.5411s  212.51us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed36e00000  [Unified Memory Memcpy HtoD]
13.5414s  216.00us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed37000000  [Unified Memory Memcpy HtoD]
13.5417s  214.56us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed37200000  [Unified Memory Memcpy HtoD]
13.5419s  211.36us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed37400000  [Unified Memory Memcpy HtoD]
13.5422s  212.58us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed37600000  [Unified Memory Memcpy HtoD]
13.5425s  215.07us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed37800000  [Unified Memory Memcpy HtoD]
13.5428s  213.63us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed37a00000  [Unified Memory Memcpy HtoD]
13.5431s  213.12us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed37c00000  [Unified Memory Memcpy HtoD]
13.5433s  212.22us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed37e00000  [Unified Memory Memcpy HtoD]
13.5436s  212.90us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed38000000  [Unified Memory Memcpy HtoD]
13.5439s  215.46us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed38200000  [Unified Memory Memcpy HtoD]
13.5442s  213.28us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed38400000  [Unified Memory Memcpy HtoD]
13.5445s  216.19us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed38600000  [Unified Memory Memcpy HtoD]
13.5447s  213.09us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed38800000  [Unified Memory Memcpy HtoD]
13.5450s  212.64us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed38a00000  [Unified Memory Memcpy HtoD]
13.5453s  215.30us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed38c00000  [Unified Memory Memcpy HtoD]
13.5456s  214.66us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed38e00000  [Unified Memory Memcpy HtoD]
13.5459s  216.19us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed39000000  [Unified Memory Memcpy HtoD]
13.5461s  214.85us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed39200000  [Unified Memory Memcpy HtoD]
13.5464s  214.40us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed39400000  [Unified Memory Memcpy HtoD]
13.5467s  213.06us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed39600000  [Unified Memory Memcpy HtoD]
13.5470s  215.39us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed39800000  [Unified Memory Memcpy HtoD]
13.5475s  212.96us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed39a00000  [Unified Memory Memcpy HtoD]
13.5478s  213.57us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed39c00000  [Unified Memory Memcpy HtoD]
13.5481s  210.91us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed39e00000  [Unified Memory Memcpy HtoD]
13.5484s  217.12us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed3a000000  [Unified Memory Memcpy HtoD]
13.5487s  212.35us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed3a200000  [Unified Memory Memcpy HtoD]
13.5489s  212.38us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed3a400000  [Unified Memory Memcpy HtoD]
13.5492s  214.43us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed3a600000  [Unified Memory Memcpy HtoD]
13.5495s  214.40us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed3a800000  [Unified Memory Memcpy HtoD]
13.5498s  209.28us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed3aa00000  [Unified Memory Memcpy HtoD]
13.5501s  210.08us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed3ac00000  [Unified Memory Memcpy HtoD]
13.5504s  211.74us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed3ae00000  [Unified Memory Memcpy HtoD]
13.5506s  217.09us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed3b000000  [Unified Memory Memcpy HtoD]
13.5509s  214.72us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed3b200000  [Unified Memory Memcpy HtoD]
13.5512s  214.37us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed3b400000  [Unified Memory Memcpy HtoD]
13.5515s  211.23us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed3b600000  [Unified Memory Memcpy HtoD]
13.5518s  211.23us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed3b800000  [Unified Memory Memcpy HtoD]
13.5521s  215.97us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed3ba00000  [Unified Memory Memcpy HtoD]
13.5523s  215.07us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed3bc00000  [Unified Memory Memcpy HtoD]
13.5526s  212.38us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed3be00000  [Unified Memory Memcpy HtoD]
13.5529s  213.60us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed3c000000  [Unified Memory Memcpy HtoD]
13.5532s  213.15us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed3c200000  [Unified Memory Memcpy HtoD]
13.5535s  213.41us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed3c400000  [Unified Memory Memcpy HtoD]
13.5537s  214.08us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed3c600000  [Unified Memory Memcpy HtoD]
13.5540s  214.72us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed3c800000  [Unified Memory Memcpy HtoD]
13.5543s  215.07us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed3ca00000  [Unified Memory Memcpy HtoD]
13.5546s  214.24us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed3cc00000  [Unified Memory Memcpy HtoD]
13.5549s  214.88us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed3ce00000  [Unified Memory Memcpy HtoD]
13.5551s  218.72us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed3d000000  [Unified Memory Memcpy HtoD]
13.5554s  215.20us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed3d200000  [Unified Memory Memcpy HtoD]
13.5557s  218.46us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed3d400000  [Unified Memory Memcpy HtoD]
13.5560s  213.76us                    -               -         -         -         -  Tesla V100-SXM2         -         -            2.000000MB   0x7fed3d600000  [Unified Memory Memcpy HtoD]
