==38441== NVPROF is profiling process 38441, command: ./MonteCarlo --scaling=strong --method=threaded
==38441== Profiling application: ./MonteCarlo --scaling=strong --method=threaded
==38441== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*           Device   Context    Stream        Unified Memory  Virtual Address  Name
6.51116s  6.3015ms           (3200 1 1)       (256 1 1)        32        0B        0B  Tesla V100-SXM2         1         7                     -                -  rngSetupStates(curandStateXORWOW*, int) [236]
6.51117s  5.8724ms           (3200 1 1)       (256 1 1)        32        0B        0B  Tesla V100-SXM2         2        15                     -                -  rngSetupStates(curandStateXORWOW*, int) [237]
6.51117s  528.51us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     1   0x7ff8f4002000  [Unified Memory GPU page faults]
6.51117s  539.80us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     7   0x7ff8f0006000  [Unified Memory GPU page faults]
6.51118s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff93c000000  [Unified Memory CPU page faults]
6.51118s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff91c000000  [Unified Memory CPU page faults]
6.51170s  270.88us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7ff8f4202000  [Unified Memory GPU page faults]
6.51172s  267.01us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     5   0x7ff8f0200000  [Unified Memory GPU page faults]
6.51198s  218.49us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     5   0x7ff8f4403000  [Unified Memory GPU page faults]
6.51199s  225.85us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     1   0x7ff8f0404000  [Unified Memory GPU page faults]
6.51220s  214.40us                    -               -         -         -         -  Tesla V100-SXM2         -         -                    10   0x7ff8f4602000  [Unified Memory GPU page faults]
6.51221s  212.61us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     3   0x7ff8f0608000  [Unified Memory GPU page faults]
6.51290s  252.93us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     2   0x7ff8f4800000  [Unified Memory GPU page faults]
6.51292s  249.79us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     3   0x7ff8f0801000  [Unified Memory GPU page faults]
6.51307s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff91c200000  [Unified Memory CPU page faults]
6.51310s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff93c200000  [Unified Memory CPU page faults]
6.51331s  157.44us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     3   0x7ff8f0c02000  [Unified Memory GPU page faults]
6.51332s  122.30us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     2   0x7ff8f4c00000  [Unified Memory GPU page faults]
6.51351s  99.135us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     3   0x7ff8f4e00000  [Unified Memory GPU page faults]
6.51358s  156.64us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     3   0x7ff8f0e01000  [Unified Memory GPU page faults]
6.51368s  142.82us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     3   0x7ff8f5004000  [Unified Memory GPU page faults]
6.51382s  150.02us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     3   0x7ff8f1000000  [Unified Memory GPU page faults]
6.51399s  158.65us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     5   0x7ff8f5201000  [Unified Memory GPU page faults]
6.51409s  129.25us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     5   0x7ff8f1200000  [Unified Memory GPU page faults]
6.51424s  117.66us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     5   0x7ff8f5400000  [Unified Memory GPU page faults]
6.51433s  148.10us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     5   0x7ff8f1400000  [Unified Memory GPU page faults]
6.51448s  115.84us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7ff8f5601000  [Unified Memory GPU page faults]
6.51458s  125.12us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     3   0x7ff8f1600000  [Unified Memory GPU page faults]
6.51469s  128.54us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     5   0x7ff8f5800000  [Unified Memory GPU page faults]
6.51482s  135.49us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     5   0x7ff8f1800000  [Unified Memory GPU page faults]
6.51484s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff91c400000  [Unified Memory CPU page faults]
6.51490s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff93c400000  [Unified Memory CPU page faults]
6.51493s  108.35us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     3   0x7ff8f5a00000  [Unified Memory GPU page faults]
6.51503s  25.056us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     1   0x7ff8f5aad000  [Unified Memory GPU page faults]
6.51507s  139.04us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     5   0x7ff8f1a02000  [Unified Memory GPU page faults]
6.51517s  555.55us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     3   0x7ff8f5c00000  [Unified Memory GPU page faults]
6.51531s  137.15us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     5   0x7ff8f1c01000  [Unified Memory GPU page faults]
6.51556s  135.23us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     5   0x7ff8f1e00000  [Unified Memory GPU page faults]
6.51580s  165.60us                    -               -         -         -         -  Tesla V100-SXM2         -         -                    20   0x7ff8f2001000  [Unified Memory GPU page faults]
6.51584s  280.99us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     3   0x7ff8f5e02000  [Unified Memory GPU page faults]
6.51608s  146.30us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     5   0x7ff8f2200000  [Unified Memory GPU page faults]
6.51621s  173.02us                    -               -         -         -         -  Tesla V100-SXM2         -         -                    20   0x7ff8f6002000  [Unified Memory GPU page faults]
6.51634s  200.90us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     5   0x7ff8f2400000  [Unified Memory GPU page faults]
6.51638s  24.864us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     5   0x7ff8f60b0000  [Unified Memory GPU page faults]
6.51653s  126.02us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     5   0x7ff8f6200000  [Unified Memory GPU page faults]
6.51668s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff91c600000  [Unified Memory CPU page faults]
6.51675s  192.73us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     5   0x7ff8f6400000  [Unified Memory GPU page faults]
6.51757s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff93c600000  [Unified Memory CPU page faults]
6.51848s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff91c800000  [Unified Memory CPU page faults]
6.51930s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff93c800000  [Unified Memory CPU page faults]
6.52012s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff91ca00000  [Unified Memory CPU page faults]
6.52100s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff93ca00000  [Unified Memory CPU page faults]
6.52186s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff91cc00000  [Unified Memory CPU page faults]
6.52283s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff93cc00000  [Unified Memory CPU page faults]
6.52370s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff91ce00000  [Unified Memory CPU page faults]
6.52456s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff93ce00000  [Unified Memory CPU page faults]
6.52608s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff91d000000  [Unified Memory CPU page faults]
6.52705s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff93d000000  [Unified Memory CPU page faults]
6.52834s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff91d200000  [Unified Memory CPU page faults]
6.52941s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff93d200000  [Unified Memory CPU page faults]
6.53072s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff91d400000  [Unified Memory CPU page faults]
6.53178s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff93d400000  [Unified Memory CPU page faults]
6.53307s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff91d600000  [Unified Memory CPU page faults]
6.53414s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff93d600000  [Unified Memory CPU page faults]
6.53539s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff91d800000  [Unified Memory CPU page faults]
6.53648s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff93d800000  [Unified Memory CPU page faults]
6.53772s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff91da00000  [Unified Memory CPU page faults]
6.53885s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff93da00000  [Unified Memory CPU page faults]
6.54008s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff91dc00000  [Unified Memory CPU page faults]
6.54118s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff93dc00000  [Unified Memory CPU page faults]
6.54247s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff91de00000  [Unified Memory CPU page faults]
6.54352s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff93de00000  [Unified Memory CPU page faults]
6.54481s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff91e000000  [Unified Memory CPU page faults]
6.54585s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff93e000000  [Unified Memory CPU page faults]
6.54715s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff91e200000  [Unified Memory CPU page faults]
6.54821s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff93e200000  [Unified Memory CPU page faults]
6.54948s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff91e400000  [Unified Memory CPU page faults]
6.55058s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff93e400000  [Unified Memory CPU page faults]
6.55183s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff91e600000  [Unified Memory CPU page faults]
6.55293s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff93e600000  [Unified Memory CPU page faults]
6.55420s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff91e800000  [Unified Memory CPU page faults]
6.55529s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff93e800000  [Unified Memory CPU page faults]
6.55652s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff91ea00000  [Unified Memory CPU page faults]
6.55762s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff93ea00000  [Unified Memory CPU page faults]
6.55890s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff91ec00000  [Unified Memory CPU page faults]
6.55998s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff93ec00000  [Unified Memory CPU page faults]
6.56122s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff91ee00000  [Unified Memory CPU page faults]
6.56233s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff93ee00000  [Unified Memory CPU page faults]
6.56357s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff91f000000  [Unified Memory CPU page faults]
6.56466s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff93f000000  [Unified Memory CPU page faults]
6.56590s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff91f200000  [Unified Memory CPU page faults]
6.56704s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff93f200000  [Unified Memory CPU page faults]
6.56825s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff91f400000  [Unified Memory CPU page faults]
6.56937s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff93f400000  [Unified Memory CPU page faults]
6.57060s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff91f600000  [Unified Memory CPU page faults]
6.57173s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff93f600000  [Unified Memory CPU page faults]
6.57294s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff91f800000  [Unified Memory CPU page faults]
6.57410s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff93f800000  [Unified Memory CPU page faults]
6.57529s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff91fa00000  [Unified Memory CPU page faults]
6.57643s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff93fa00000  [Unified Memory CPU page faults]
6.57761s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff91fc00000  [Unified Memory CPU page faults]
6.57880s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff93fc00000  [Unified Memory CPU page faults]
6.57998s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff91fe00000  [Unified Memory CPU page faults]
6.58111s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff93fe00000  [Unified Memory CPU page faults]
6.58232s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff920000000  [Unified Memory CPU page faults]
6.58344s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff940000000  [Unified Memory CPU page faults]
6.58465s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff920200000  [Unified Memory CPU page faults]
6.58577s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff940200000  [Unified Memory CPU page faults]
6.58702s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff920400000  [Unified Memory CPU page faults]
6.58812s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff940400000  [Unified Memory CPU page faults]
6.58935s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff920600000  [Unified Memory CPU page faults]
6.59047s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff940600000  [Unified Memory CPU page faults]
6.59169s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff920800000  [Unified Memory CPU page faults]
6.59281s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff940800000  [Unified Memory CPU page faults]
6.59406s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff920a00000  [Unified Memory CPU page faults]
6.59514s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff940a00000  [Unified Memory CPU page faults]
6.59639s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff920c00000  [Unified Memory CPU page faults]
6.59745s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff940c00000  [Unified Memory CPU page faults]
6.59875s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff920e00000  [Unified Memory CPU page faults]
6.59980s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff940e00000  [Unified Memory CPU page faults]
6.60107s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff921000000  [Unified Memory CPU page faults]
6.60213s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff941000000  [Unified Memory CPU page faults]
6.60338s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff921200000  [Unified Memory CPU page faults]
6.60444s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff941200000  [Unified Memory CPU page faults]
6.60570s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff921400000  [Unified Memory CPU page faults]
6.60681s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff941400000  [Unified Memory CPU page faults]
6.60806s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff921600000  [Unified Memory CPU page faults]
6.60908s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff941600000  [Unified Memory CPU page faults]
6.61041s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff921800000  [Unified Memory CPU page faults]
6.61140s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff941800000  [Unified Memory CPU page faults]
6.61276s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff921a00000  [Unified Memory CPU page faults]
6.61372s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff941a00000  [Unified Memory CPU page faults]
6.61479s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff921c00000  [Unified Memory CPU page faults]
6.61547s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff941c00000  [Unified Memory CPU page faults]
6.61660s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff921e00000  [Unified Memory CPU page faults]
6.61716s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff941e00000  [Unified Memory CPU page faults]
6.61847s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff922000000  [Unified Memory CPU page faults]
6.61887s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff942000000  [Unified Memory CPU page faults]
6.62026s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff922200000  [Unified Memory CPU page faults]
6.62056s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff942200000  [Unified Memory CPU page faults]
6.62205s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff922400000  [Unified Memory CPU page faults]
6.62230s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff942400000  [Unified Memory CPU page faults]
6.62382s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff922600000  [Unified Memory CPU page faults]
6.62401s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff942600000  [Unified Memory CPU page faults]
6.62558s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff922800000  [Unified Memory CPU page faults]
6.62572s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff942800000  [Unified Memory CPU page faults]
6.62735s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff922a00000  [Unified Memory CPU page faults]
6.62746s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff942a00000  [Unified Memory CPU page faults]
6.62913s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff922c00000  [Unified Memory CPU page faults]
6.62919s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff942c00000  [Unified Memory CPU page faults]
6.63091s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff922e00000  [Unified Memory CPU page faults]
6.63121s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff942e00000  [Unified Memory CPU page faults]
6.63263s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff923000000  [Unified Memory CPU page faults]
6.63294s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff943000000  [Unified Memory CPU page faults]
6.63442s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff923200000  [Unified Memory CPU page faults]
6.63465s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff943200000  [Unified Memory CPU page faults]
6.63620s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff923400000  [Unified Memory CPU page faults]
6.63636s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff943400000  [Unified Memory CPU page faults]
6.63797s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff923600000  [Unified Memory CPU page faults]
6.63811s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff943600000  [Unified Memory CPU page faults]
6.63976s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff923800000  [Unified Memory CPU page faults]
6.63982s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff943800000  [Unified Memory CPU page faults]
6.64152s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff923a00000  [Unified Memory CPU page faults]
6.64152s         -                    -               -         -         -         -                -         -         -         PC 0x6fd6c381   0x7ff943a00000  [Unified Memory CPU page faults]
