==49613== NVPROF is profiling process 49613, command: ./MonteCarlo --scaling=strong --method=streamed
==49613== Profiling application: ./MonteCarlo --scaling=strong --method=streamed
==49613== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*           Device   Context    Stream        Unified Memory  Virtual Address  Name
6.61617s  6.5762ms           (3200 1 1)       (256 1 1)        32        0B        0B  Tesla V100-SXM2         1         7                     -                -  rngSetupStates(curandStateXORWOW*, int) [236]
6.61617s  606.36us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     1   0x7f9e5c003000  [Unified Memory GPU page faults]
6.61678s  321.50us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     2   0x7f9e5c211000  [Unified Memory GPU page faults]
6.61711s  217.85us                    -               -         -         -         -  Tesla V100-SXM2         -         -                    10   0x7f9e5c608000  [Unified Memory GPU page faults]
6.61714s  5.6670ms           (3200 1 1)       (256 1 1)        32        0B        0B  Tesla V100-SXM2         2        16                     -                -  rngSetupStates(curandStateXORWOW*, int) [244]
6.61714s  464.61us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     5   0x7f9e28005000  [Unified Memory GPU page faults]
6.61761s  164.86us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     8   0x7f9e28200000  [Unified Memory GPU page faults]
6.61778s  173.79us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7f9e284bd000  [Unified Memory GPU page faults]
6.61782s  332.06us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     3   0x7f9e5c800000  [Unified Memory GPU page faults]
6.61795s  196.22us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     1   0x7f9e28601000  [Unified Memory GPU page faults]
6.61828s  201.37us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     1   0x7f9e5cc01000  [Unified Memory GPU page faults]
6.61857s  203.74us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     5   0x7f9e5ce00000  [Unified Memory GPU page faults]
6.61865s  216.48us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     3   0x7f9e28803000  [Unified Memory GPU page faults]
6.61889s  174.91us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     5   0x7f9e5d000000  [Unified Memory GPU page faults]
6.61899s  151.81us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     5   0x7f9e28c02000  [Unified Memory GPU page faults]
6.61916s  186.59us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     2   0x7f9e5d200000  [Unified Memory GPU page faults]
6.61924s  148.54us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     3   0x7f9e28e03000  [Unified Memory GPU page faults]
6.61947s  217.85us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     5   0x7f9e5d400000  [Unified Memory GPU page faults]
6.61950s  156.03us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     5   0x7f9e29001000  [Unified Memory GPU page faults]
6.61976s  143.97us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     3   0x7f9e29202000  [Unified Memory GPU page faults]
6.61979s  171.68us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     3   0x7f9e5d601000  [Unified Memory GPU page faults]
6.62001s  143.01us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     2   0x7f9e29400000  [Unified Memory GPU page faults]
6.62009s  168.61us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     3   0x7f9e5d800000  [Unified Memory GPU page faults]
6.62014s  22.944us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     3   0x7f9e294aa000  [Unified Memory GPU page faults]
6.62027s  119.39us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     2   0x7f9e29604000  [Unified Memory GPU page faults]
6.62038s  163.36us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     3   0x7f9e5da00000  [Unified Memory GPU page faults]
6.62049s  117.15us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     3   0x7f9e29800000  [Unified Memory GPU page faults]
6.62061s  22.304us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7f9e298d6000  [Unified Memory GPU page faults]
6.62065s  171.46us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7f9e5dc00000  [Unified Memory GPU page faults]
6.62073s  105.50us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     5   0x7f9e29a00000  [Unified Memory GPU page faults]
6.62094s  287.04us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     3   0x7f9e5de02000  [Unified Memory GPU page faults]
6.62095s  260.29us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     5   0x7f9e29c00000  [Unified Memory GPU page faults]
6.62130s  134.27us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     5   0x7f9e29e02000  [Unified Memory GPU page faults]
6.62134s  229.44us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     5   0x7f9e5e000000  [Unified Memory GPU page faults]
6.62156s  162.62us                    -               -         -         -         -  Tesla V100-SXM2         -         -                    20   0x7f9e2a000000  [Unified Memory GPU page faults]
6.62169s  181.86us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     5   0x7f9e5e200000  [Unified Memory GPU page faults]
6.62183s  142.62us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     5   0x7f9e2a201000  [Unified Memory GPU page faults]
6.62198s  273.34us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     5   0x7f9e5e400000  [Unified Memory GPU page faults]
6.62208s  232.48us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     2   0x7f9e2a401000  [Unified Memory GPU page faults]
6.62283s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e78000000  [Unified Memory CPU page faults]
6.62457s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e78200000  [Unified Memory CPU page faults]
6.62625s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e78400000  [Unified Memory CPU page faults]
6.62790s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e78600000  [Unified Memory CPU page faults]
6.62958s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e78800000  [Unified Memory CPU page faults]
6.63124s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e78a00000  [Unified Memory CPU page faults]
6.63291s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e78c00000  [Unified Memory CPU page faults]
6.63457s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e78e00000  [Unified Memory CPU page faults]
6.63624s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e79000000  [Unified Memory CPU page faults]
6.63788s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e79200000  [Unified Memory CPU page faults]
6.63953s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e79400000  [Unified Memory CPU page faults]
6.64121s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e79600000  [Unified Memory CPU page faults]
6.64283s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e79800000  [Unified Memory CPU page faults]
6.64448s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e79a00000  [Unified Memory CPU page faults]
6.64614s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e79c00000  [Unified Memory CPU page faults]
6.64777s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e79e00000  [Unified Memory CPU page faults]
6.64944s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e7a000000  [Unified Memory CPU page faults]
6.65107s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e7a200000  [Unified Memory CPU page faults]
6.65272s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e7a400000  [Unified Memory CPU page faults]
6.65438s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e7a600000  [Unified Memory CPU page faults]
6.65600s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e7a800000  [Unified Memory CPU page faults]
6.65765s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e7aa00000  [Unified Memory CPU page faults]
6.65929s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e7ac00000  [Unified Memory CPU page faults]
6.66092s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e7ae00000  [Unified Memory CPU page faults]
6.66256s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e7b000000  [Unified Memory CPU page faults]
6.66420s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e7b200000  [Unified Memory CPU page faults]
6.66583s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e7b400000  [Unified Memory CPU page faults]
6.66747s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e7b600000  [Unified Memory CPU page faults]
6.66913s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e7b800000  [Unified Memory CPU page faults]
6.67076s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e7ba00000  [Unified Memory CPU page faults]
6.67239s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e7bc00000  [Unified Memory CPU page faults]
6.67402s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e7be00000  [Unified Memory CPU page faults]
6.67566s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e7c000000  [Unified Memory CPU page faults]
6.67731s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e7c200000  [Unified Memory CPU page faults]
6.67892s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e7c400000  [Unified Memory CPU page faults]
6.68056s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e7c600000  [Unified Memory CPU page faults]
6.68221s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e7c800000  [Unified Memory CPU page faults]
6.68382s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e7ca00000  [Unified Memory CPU page faults]
6.68548s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e7cc00000  [Unified Memory CPU page faults]
6.68710s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e7ce00000  [Unified Memory CPU page faults]
6.68873s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e7d000000  [Unified Memory CPU page faults]
6.69037s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e7d200000  [Unified Memory CPU page faults]
6.69198s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e7d400000  [Unified Memory CPU page faults]
6.69362s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e7d600000  [Unified Memory CPU page faults]
6.69525s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e7d800000  [Unified Memory CPU page faults]
6.69688s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e7da00000  [Unified Memory CPU page faults]
6.69851s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e7dc00000  [Unified Memory CPU page faults]
6.70015s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e7de00000  [Unified Memory CPU page faults]
6.70177s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e7e000000  [Unified Memory CPU page faults]
6.70341s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e7e200000  [Unified Memory CPU page faults]
6.70504s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e7e400000  [Unified Memory CPU page faults]
6.70667s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e7e600000  [Unified Memory CPU page faults]
6.70831s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e7e800000  [Unified Memory CPU page faults]
6.70993s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e7ea00000  [Unified Memory CPU page faults]
6.71156s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e7ec00000  [Unified Memory CPU page faults]
6.71322s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e7ee00000  [Unified Memory CPU page faults]
6.71484s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e7f000000  [Unified Memory CPU page faults]
6.71648s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e7f200000  [Unified Memory CPU page faults]
6.71812s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e7f400000  [Unified Memory CPU page faults]
6.71972s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e7f600000  [Unified Memory CPU page faults]
6.72136s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e7f800000  [Unified Memory CPU page faults]
6.72296s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e7fa00000  [Unified Memory CPU page faults]
6.72459s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e7fc00000  [Unified Memory CPU page faults]
6.72622s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e7fe00000  [Unified Memory CPU page faults]
6.72783s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e80000000  [Unified Memory CPU page faults]
6.72947s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e80200000  [Unified Memory CPU page faults]
6.73108s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e80400000  [Unified Memory CPU page faults]
6.73270s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e80600000  [Unified Memory CPU page faults]
6.73434s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e80800000  [Unified Memory CPU page faults]
6.73594s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e80a00000  [Unified Memory CPU page faults]
6.73758s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e80c00000  [Unified Memory CPU page faults]
6.73920s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e80e00000  [Unified Memory CPU page faults]
6.74080s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e81000000  [Unified Memory CPU page faults]
6.74244s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e81200000  [Unified Memory CPU page faults]
6.74405s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e81400000  [Unified Memory CPU page faults]
6.74568s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e81600000  [Unified Memory CPU page faults]
6.74731s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e81800000  [Unified Memory CPU page faults]
6.74892s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e81a00000  [Unified Memory CPU page faults]
6.75055s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e81c00000  [Unified Memory CPU page faults]
6.75218s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e81e00000  [Unified Memory CPU page faults]
6.75380s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e82000000  [Unified Memory CPU page faults]
6.75542s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e82200000  [Unified Memory CPU page faults]
6.75704s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e82400000  [Unified Memory CPU page faults]
6.75867s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e82600000  [Unified Memory CPU page faults]
6.76029s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e82800000  [Unified Memory CPU page faults]
6.76191s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e82a00000  [Unified Memory CPU page faults]
6.76353s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e82c00000  [Unified Memory CPU page faults]
6.76518s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e82e00000  [Unified Memory CPU page faults]
6.76679s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e83000000  [Unified Memory CPU page faults]
6.76841s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e83200000  [Unified Memory CPU page faults]
6.77003s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e83400000  [Unified Memory CPU page faults]
6.77165s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e83600000  [Unified Memory CPU page faults]
6.77329s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e83800000  [Unified Memory CPU page faults]
6.77489s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e83a00000  [Unified Memory CPU page faults]
6.77651s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e83c00000  [Unified Memory CPU page faults]
6.77815s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e83e00000  [Unified Memory CPU page faults]
6.77976s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e84000000  [Unified Memory CPU page faults]
6.78139s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e84200000  [Unified Memory CPU page faults]
6.78300s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e84400000  [Unified Memory CPU page faults]
6.78463s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e84600000  [Unified Memory CPU page faults]
6.78626s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e84800000  [Unified Memory CPU page faults]
6.78786s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e84a00000  [Unified Memory CPU page faults]
6.78951s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e84c00000  [Unified Memory CPU page faults]
6.79114s         -                    -               -         -         -         -                -         -         -          PC 0x86d6381   0x7f9e84e00000  [Unified Memory CPU page faults]
