==48400== NVPROF is profiling process 48400, command: ./MonteCarlo --scaling=strong --method=threaded
==48400== Profiling application: ./MonteCarlo --scaling=strong --method=threaded
==48400== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*           Device   Context    Stream        Unified Memory  Virtual Address  Name
6.53728s  6.4554ms           (3200 1 1)       (256 1 1)        32        0B        0B  Tesla V100-SXM2         2        15                     -                -  rngSetupStates(curandStateXORWOW*, int) [237]
6.53728s  5.9194ms           (3200 1 1)       (256 1 1)        32        0B        0B  Tesla V100-SXM2         1         7                     -                -  rngSetupStates(curandStateXORWOW*, int) [236]
6.53729s  623.96us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     3   0x7f35d4001000  [Unified Memory GPU page faults]
6.53729s  626.69us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     1   0x7f35d0001000  [Unified Memory GPU page faults]
6.53731s         -                    -               -         -         -         -                -         -         -         PC 0x3bcdf381   0x7f3620000000  [Unified Memory CPU page faults]
6.53732s         -                    -               -         -         -         -                -         -         -         PC 0x3bcdf381   0x7f3600000000  [Unified Memory CPU page faults]
6.53791s  343.04us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     3   0x7f35d420b000  [Unified Memory GPU page faults]
6.53792s  322.37us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     8   0x7f35d0200000  [Unified Memory GPU page faults]
6.53824s  173.02us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     5   0x7f35d0601000  [Unified Memory GPU page faults]
6.53827s  192.67us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     3   0x7f35d4601000  [Unified Memory GPU page faults]
6.53891s  233.18us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7f35d0800000  [Unified Memory GPU page faults]
6.53895s  233.41us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     3   0x7f35d4800000  [Unified Memory GPU page faults]
6.53918s         -                    -               -         -         -         -                -         -         -         PC 0x3bcdf381   0x7f3600200000  [Unified Memory CPU page faults]
6.53923s         -                    -               -         -         -         -                -         -         -         PC 0x3bcdf381   0x7f3620200000  [Unified Memory CPU page faults]
6.53929s  158.82us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     3   0x7f35d0c00000  [Unified Memory GPU page faults]
6.53934s  171.14us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     5   0x7f35d4c00000  [Unified Memory GPU page faults]
6.53956s  170.08us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     5   0x7f35d0e00000  [Unified Memory GPU page faults]
6.53961s  158.11us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     5   0x7f35d4e00000  [Unified Memory GPU page faults]
6.53981s  172.22us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7f35d1000000  [Unified Memory GPU page faults]
6.53986s  128.64us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7f35d5000000  [Unified Memory GPU page faults]
6.53998s  24.320us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     5   0x7f35d50bd000  [Unified Memory GPU page faults]
6.54007s  145.25us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     3   0x7f35d5203000  [Unified Memory GPU page faults]
6.54010s  149.34us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     5   0x7f35d1200000  [Unified Memory GPU page faults]
6.54035s  154.37us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     3   0x7f35d5402000  [Unified Memory GPU page faults]
6.54036s  165.44us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7f35d1400000  [Unified Memory GPU page faults]
6.54061s  130.56us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     3   0x7f35d5600000  [Unified Memory GPU page faults]
6.54065s  123.58us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     5   0x7f35d1601000  [Unified Memory GPU page faults]
6.54084s  134.94us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     5   0x7f35d5800000  [Unified Memory GPU page faults]
6.54087s  122.91us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7f35d1801000  [Unified Memory GPU page faults]
6.54102s         -                    -               -         -         -         -                -         -         -         PC 0x3bcdf381   0x7f3620400000  [Unified Memory CPU page faults]
6.54109s  144.22us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7f35d1a00000  [Unified Memory GPU page faults]
6.54109s  131.14us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     5   0x7f35d5a00000  [Unified Memory GPU page faults]
6.54133s  130.78us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     5   0x7f35d5c01000  [Unified Memory GPU page faults]
6.54135s  148.70us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7f35d1c01000  [Unified Memory GPU page faults]
6.54157s  133.73us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     5   0x7f35d5e03000  [Unified Memory GPU page faults]
