==46550== NVPROF is profiling process 46550, command: ./MonteCarlo --scaling=weak --method=threaded
==46550== Profiling application: ./MonteCarlo --scaling=weak --method=threaded
==46550== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*           Device   Context    Stream        Unified Memory  Virtual Address  Name
12.6281s  6.9021ms           (3200 1 1)       (256 1 1)        32        0B        0B  Tesla V100-SXM2         1        15                     -                -  rngSetupStates(curandStateXORWOW*, int) [237]
12.6281s  6.9037ms           (3200 1 1)       (256 1 1)        32        0B        0B  Tesla V100-SXM2         2         7                     -                -  rngSetupStates(curandStateXORWOW*, int) [236]
12.6281s  1.3570ms                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7ff218004000  [Unified Memory GPU page faults]
12.6281s  1.3555ms                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7ff21c004000  [Unified Memory GPU page faults]
12.6281s         -                    -               -         -         -         -                -         -         -         PC 0x6b248381   0x7ff264000000  [Unified Memory CPU page faults]
12.6290s         -                    -               -         -         -         -                -         -         -         PC 0x6b248381   0x7ff2a4000000  [Unified Memory CPU page faults]
12.6294s  300.51us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     8   0x7ff21c200000  [Unified Memory GPU page faults]
12.6294s  345.18us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7ff21820b000  [Unified Memory GPU page faults]
12.6297s  161.31us                    -               -         -         -         -  Tesla V100-SXM2         -         -                    10   0x7ff21c401000  [Unified Memory GPU page faults]
12.6298s  159.04us                    -               -         -         -         -  Tesla V100-SXM2         -         -                    10   0x7ff218602000  [Unified Memory GPU page faults]
12.6298s         -                    -               -         -         -         -                -         -         -         PC 0x6b248381   0x7ff264200000  [Unified Memory CPU page faults]
12.6299s  166.37us                    -               -         -         -         -  Tesla V100-SXM2         -         -                    10   0x7ff21c605000  [Unified Memory GPU page faults]
12.6304s  257.38us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     3   0x7ff218803000  [Unified Memory GPU page faults]
12.6305s  215.58us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     3   0x7ff21c804000  [Unified Memory GPU page faults]
12.6308s         -                    -               -         -         -         -                -         -         -         PC 0x6b248381   0x7ff2a4200000  [Unified Memory CPU page faults]
12.6308s  173.44us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     5   0x7ff218c00000  [Unified Memory GPU page faults]
12.6309s  136.77us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     5   0x7ff21cc02000  [Unified Memory GPU page faults]
12.6311s  182.11us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     5   0x7ff218e00000  [Unified Memory GPU page faults]
12.6311s  165.31us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7ff21ce00000  [Unified Memory GPU page faults]
12.6314s  137.98us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     5   0x7ff21d000000  [Unified Memory GPU page faults]
12.6314s  240.29us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     5   0x7ff219001000  [Unified Memory GPU page faults]
12.6314s         -                    -               -         -         -         -                -         -         -         PC 0x6b248381   0x7ff264400000  [Unified Memory CPU page faults]
12.6316s  144.35us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     5   0x7ff21d202000  [Unified Memory GPU page faults]
12.6317s  163.42us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     5   0x7ff219201000  [Unified Memory GPU page faults]
12.6319s  125.76us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     2   0x7ff21d400000  [Unified Memory GPU page faults]
12.6320s  129.31us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     5   0x7ff219400000  [Unified Memory GPU page faults]
12.6321s  159.36us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     5   0x7ff21d601000  [Unified Memory GPU page faults]
12.6323s  130.98us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7ff219603000  [Unified Memory GPU page faults]
12.6324s  127.87us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     5   0x7ff21d800000  [Unified Memory GPU page faults]
12.6325s  108.54us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     5   0x7ff219800000  [Unified Memory GPU page faults]
12.6327s  128.80us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7ff21da00000  [Unified Memory GPU page faults]
12.6327s  209.66us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     2   0x7ff219a00000  [Unified Memory GPU page faults]
12.6328s         -                    -               -         -         -         -                -         -         -         PC 0x6b248381   0x7ff2a4400000  [Unified Memory CPU page faults]
12.6329s  185.82us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7ff21dc00000  [Unified Memory GPU page faults]
12.6330s  129.82us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7ff219c01000  [Unified Memory GPU page faults]
12.6332s  129.25us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7ff21de01000  [Unified Memory GPU page faults]
12.6332s         -                    -               -         -         -         -                -         -         -         PC 0x6b248381   0x7ff264600000  [Unified Memory CPU page faults]
12.6333s  100.74us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     2   0x7ff219e01000  [Unified Memory GPU page faults]
12.6334s  178.98us                    -               -         -         -         -  Tesla V100-SXM2         -         -                    20   0x7ff21e000000  [Unified Memory GPU page faults]
12.6335s  313.89us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     3   0x7ff21a000000  [Unified Memory GPU page faults]
