==47337== NVPROF is profiling process 47337, command: ./MonteCarlo --scaling=weak --method=streamed
==47337== Profiling application: ./MonteCarlo --scaling=weak --method=streamed
==47337== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*           Device   Context    Stream        Unified Memory  Virtual Address  Name
13.0515s  5.5785ms           (3200 1 1)       (256 1 1)        32        0B        0B  Tesla V100-SXM2         1         7                     -                -  rngSetupStates(curandStateXORWOW*, int) [236]
13.0515s  477.02us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     6   0x7fe020001000  [Unified Memory GPU page faults]
13.0520s  185.22us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     8   0x7fe020200000  [Unified Memory GPU page faults]
13.0521s  5.6256ms           (3200 1 1)       (256 1 1)        32        0B        0B  Tesla V100-SXM2         2        16                     -                -  rngSetupStates(curandStateXORWOW*, int) [244]
13.0521s  474.50us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     2   0x7fdfbc002000  [Unified Memory GPU page faults]
13.0522s  234.05us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     1   0x7fe0204b5000  [Unified Memory GPU page faults]
13.0526s  167.97us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     8   0x7fdfbc200000  [Unified Memory GPU page faults]
13.0527s  168.13us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     6   0x7fdfbc4b2000  [Unified Memory GPU page faults]
13.0529s  159.71us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     3   0x7fdfbc607000  [Unified Memory GPU page faults]
13.0529s  225.73us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     1   0x7fe020800000  [Unified Memory GPU page faults]
13.0533s  176.54us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     3   0x7fe020c01000  [Unified Memory GPU page faults]
13.0536s  285.22us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     5   0x7fdfbc801000  [Unified Memory GPU page faults]
13.0536s  216.16us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     3   0x7fe020e00000  [Unified Memory GPU page faults]
13.0539s  131.68us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7fe021003000  [Unified Memory GPU page faults]
13.0540s  161.50us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     5   0x7fdfbcc00000  [Unified Memory GPU page faults]
13.0541s  142.27us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     4   0x7fe021200000  [Unified Memory GPU page faults]
